,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1,1,1968-10-15,23-053,CHI,NYK,4,,,4,,,,,,1,2,.500,,,,,,,,,9,,
1,2,2,1968-10-16,23-054,CHI,MIL,5,,,1,,,,,,3,5,.600,,,,,,,,6,5,,
2,3,3,1968-10-19,23-057,CHI,BOS,-10,,,4,,,,,,1,1,1.000,,,,,,,,,9,,
3,4,4,1968-10-23,23-061,CHI,ATL,-15,,,2,,,,,,0,1,.000,,,,,,,,,4,,
4,5,5,1968-10-26,23-064,CHI,PHI,-4,,,7,,,,,,2,5,.400,,,,,,,,6,16,,
5,6,6,1968-10-29,23-067,CHI,BOS,6,,,7,,,,,,5,5,1.000,,,,,,,,,19,,
6,7,7,1968-10-31,23-069,CHI,PHO,-9,,,2,,,,,,0,0,,,,,,,,,,4,,
7,8,8,1968-11-01,23-070,CHI,LAL,13,,,7,,,,,,2,3,.667,,,,,,,,,16,,
8,9,9,1968-11-02,23-071,CHI,SEA,-6,,,0,,,,,,1,4,.250,,,,,,,,,1,,
9,10,10,1968-11-03,23-072,CHI,SDR,-14,,,1,,,,,,2,2,1.000,,,,,,,,6,4,,
10,11,11,1968-11-05,23-074,CHI,LAL,-3,,,4,,,,,,1,2,.500,,,,,,,,,9,,
11,12,12,1968-11-06,23-075,CHI,CIN,-11,,,5,,,,,,3,4,.750,,,,,,,,,13,,
12,13,13,1968-11-07,23-076,CHI,SEA,15,,,3,,,,,,1,1,1.000,,,,,,,,,7,,
13,14,14,1968-11-09,23-078,CHI,CIN,-6,,,7,,,,,,4,7,.571,,,,,,,,6,18,,
14,15,15,1968-11-16,23-085,CHI,NYK,-22,,,4,,,,,,4,4,1.000,,,,,,,,,12,,
15,16,16,1968-11-19,23-088,CHI,SFW,-12,,,3,,,,,,0,1,.000,,,,,,,,,6,,
16,17,17,1968-11-21,23-090,CHI,MIL,9,,,2,,,,,,0,0,,,,,,,,,,4,,
17,18,18,1968-11-22,23-091,CHI,NYK,-7,,,5,,,,,,0,2,.000,,,,,,,,,10,,
18,19,19,1968-11-23,23-092,CHI,ATL,-18,,,3,,,,,,6,7,.857,,,,,,,,,12,,
19,20,20,1968-11-24,23-093,CHI,LAL,-3,,,1,,,,,,1,1,1.000,,,,,,,,,3,,
20,21,21,1968-11-26,23-095,CHI,SEA,-1,,,2,,,,,,0,0,,,,,,,,,,4,,
