,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,315,1,1996-11-01,26-318,MIN,SAS,4,1,43:00,9,20,.450,0,1,.000,6,7,.857,3,7,10,1,1,2,4,2,24,15.7,
1,316,2,1996-11-03,26-320,MIN,LAL,-6,1,43:00,10,25,.400,1,3,.333,5,5,1.000,6,8,14,4,2,2,4,3,26,20.1,
2,317,3,1996-11-05,26-322,MIN,PHO,3,1,37:00,6,12,.500,0,1,.000,7,10,.700,2,3,5,3,1,0,1,4,19,14.6,
3,318,4,1996-11-07,26-324,MIN,POR,-1,1,43:00,10,22,.455,2,3,.667,3,4,.750,2,9,11,2,2,1,2,5,25,17.4,
4,319,5,1996-11-10,26-327,MIN,LAC,-11,1,39:00,4,17,.235,0,1,.000,10,14,.714,3,8,11,2,1,0,6,2,18,6.2,
5,320,6,1996-11-12,26-329,MIN,POR,3,1,41:00,7,19,.368,1,1,1.000,11,18,.611,3,8,11,6,3,3,5,3,26,20.3,
6,321,7,1996-11-14,26-331,MIN,DAL,10,1,40:00,14,20,.700,0,1,.000,2,2,1.000,2,9,11,4,2,2,3,6,30,26.5,
7,322,8,1996-11-16,26-333,MIN,NYK,-3,1,42:00,6,19,.316,0,3,.000,7,9,.778,0,5,5,4,4,1,5,5,19,9.3,
8,323,9,1996-11-19,26-336,MIN,HOU,-29,1,31:00,5,13,.385,0,0,,7,9,.778,0,7,7,3,1,0,2,4,17,10.7,
9,324,10,1996-11-21,26-338,MIN,ORL,-4,1,43:00,6,14,.429,0,1,.000,7,8,.875,1,5,6,5,2,1,4,3,19,14.4,
10,325,11,1996-11-23,26-340,MIN,LAC,2,1,41:00,4,16,.250,1,1,1.000,8,10,.800,4,8,12,4,1,1,5,2,17,10.5,
11,326,12,1996-11-25,26-342,MIN,WSB,-7,1,38:00,8,17,.471,1,1,1.000,8,10,.800,6,6,12,5,1,1,7,4,25,18.1,
12,327,13,1996-11-27,26-344,MIN,SEA,-8,1,30:00,10,14,.714,0,0,,2,3,.667,0,2,2,4,2,0,4,4,22,15.6,
13,328,14,1996-11-29,26-346,MIN,DEN,5,1,37:00,9,15,.600,0,1,.000,6,8,.750,2,6,8,1,2,3,7,3,24,16.1,
14,329,15,1996-11-30,26-347,MIN,TOR,9,1,41:00,7,17,.412,1,2,.500,10,10,1.000,1,4,5,4,0,1,3,3,25,17.1,
15,330,16,1996-12-03,26-350,MIN,SAC,-7,1,42:00,7,21,.333,0,2,.000,8,8,1.000,4,9,13,3,1,2,4,3,22,14.9,
16,331,17,1996-12-05,26-352,MIN,SEA,-31,1,33:00,10,14,.714,0,0,,7,7,1.000,4,6,10,2,1,1,3,4,27,24.3,
17,332,18,1996-12-06,26-353,MIN,UTA,-11,1,35:00,9,13,.692,0,0,,10,11,.909,1,5,6,6,1,0,5,5,28,22.5,
18,333,19,1996-12-08,26-355,MIN,LAL,-24,1,34:00,6,16,.375,1,1,1.000,3,3,1.000,3,3,6,3,1,2,7,4,16,6.1,
19,334,20,1996-12-10,26-357,MIN,HOU,-2,1,37:00,5,14,.357,0,0,,4,6,.667,2,4,6,1,0,2,3,1,14,6.7,
20,335,21,1996-12-11,26-358,MIN,CHI,-17,1,38:00,9,21,.429,0,0,,1,1,1.000,5,2,7,5,3,0,4,6,19,12.1,
21,336,22,1996-12-13,26-360,MIN,PHO,3,1,38:00,10,22,.455,0,0,,5,5,1.000,2,9,11,6,3,2,2,2,25,23.5,
22,337,23,1996-12-14,26-361,MIN,CLE,-8,1,39:00,5,11,.455,2,4,.500,9,9,1.000,0,3,3,2,0,0,4,3,21,12.4,
23,338,24,1996-12-18,26-365,MIN,GSW,-27,1,31:00,7,15,.467,1,1,1.000,5,6,.833,3,2,5,1,2,1,3,4,20,13.4,
