,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,223,1,1993-11-09,26-227,DEN,SEA,-32,0,5:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.7,
1,224,2,1993-11-12,26-230,DEN,LAL,29,0,5:00,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,0,1,0,-0.1,
2,225,3,1993-11-16,26-234,DEN,SAS,-12,0,3:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
3,226,4,1993-11-18,26-236,DEN,CLE,7,0,15:00,4,5,.800,0,0,,0,1,.000,1,1,2,0,0,1,0,2,8,6.6,
4,227,5,1993-11-20,26-238,DEN,MIN,1,0,17:00,3,5,.600,0,0,,0,0,,2,2,4,3,0,0,0,0,6,7.8,
5,228,6,1993-11-23,26-241,DEN,POR,-15,0,30:00,5,7,.714,0,0,,6,6,1.000,1,3,4,1,0,0,0,5,16,13.4,
6,229,7,1993-11-24,26-242,DEN,PHO,-33,0,23:00,4,9,.444,0,0,,0,0,,0,4,4,1,0,0,1,2,8,3.4,
7,230,8,1993-11-26,26-244,DEN,POR,11,0,14:00,2,5,.400,0,0,,2,2,1.000,1,0,1,1,2,0,3,3,6,2.5,
8,231,9,1993-11-27,26-245,DEN,NJN,22,0,23:00,4,7,.571,0,0,,0,0,,1,1,2,0,0,0,0,2,8,4.9,
9,232,10,1993-11-30,26-248,DEN,UTA,-11,0,12:00,0,2,.000,0,0,,2,2,1.000,0,3,3,0,0,1,1,5,2,-0.8,
10,233,11,1993-12-03,26-251,DEN,CHH,8,1,38:00,3,11,.273,0,0,,5,8,.625,7,10,17,0,1,1,4,4,11,7.3,
11,234,12,1993-12-05,26-253,DEN,DAL,5,0,26:00,7,9,.778,0,0,,3,7,.429,0,7,7,0,0,0,2,3,17,10.8,
12,235,13,1993-12-07,26-255,DEN,GSW,-5,1,27:00,3,9,.333,0,0,,1,2,.500,1,7,8,1,1,0,1,2,7,4.2,
13,236,14,1993-12-10,26-258,DEN,UTA,9,0,12:00,0,0,,0,0,,2,2,1.000,0,3,3,1,0,0,0,2,2,2.8,
14,237,15,1993-12-11,26-259,DEN,SAS,-5,0,8:00,0,3,.000,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-2.6,
15,238,16,1993-12-14,26-262,DEN,NYK,-9,0,20:00,4,5,.800,0,0,,3,4,.750,1,2,3,1,2,0,0,2,11,11.9,
16,239,17,1993-12-15,26-263,DEN,PHI,-8,0,20:00,4,6,.667,0,0,,1,2,.500,3,1,4,0,1,1,1,1,9,8.7,
17,240,18,1993-12-17,26-265,DEN,CHH,-3,0,4:00,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4,
18,241,19,1993-12-18,26-266,DEN,ATL,-6,0,15:00,1,3,.333,0,0,,0,0,,0,2,2,1,0,0,0,0,2,1.6,
19,242,20,1993-12-21,26-269,DEN,PHO,26,0,18:00,4,6,.667,0,0,,1,1,1.000,3,2,5,0,1,0,1,2,9,8.3,
20,243,21,1993-12-23,26-271,DEN,HOU,13,0,16:00,2,4,.500,0,0,,1,2,.500,1,5,6,1,0,0,0,1,5,5.1,
21,244,22,1993-12-26,26-274,DEN,MIN,3,0,5:00,3,3,1.000,0,0,,1,2,.500,0,1,1,0,0,0,0,0,7,6.0,
22,245,23,1993-12-28,26-276,DEN,DAL,12,0,14:00,2,5,.400,0,0,,1,3,.333,3,3,6,0,0,0,1,1,5,3.1,
23,246,24,1993-12-30,26-278,DEN,GSW,5,0,15:00,0,1,.000,0,0,,1,2,.500,0,1,1,0,0,0,2,0,1,-1.8,
24,247,25,1994-01-02,26-281,DEN,PHI,-16,0,10:00,1,1,1.000,0,0,,1,2,.500,0,0,0,0,0,0,0,1,3,1.9,
25,248,26,1994-01-05,26-284,DEN,MIN,-14,0,5:00,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,0.6,
26,249,27,1994-01-07,26-286,DEN,SAS,-8,0,3:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,
27,250,28,1994-01-08,26-287,DEN,SAC,6,0,11:00,1,3,.333,0,0,,0,0,,1,0,1,1,0,0,0,0,2,1.7,
28,251,29,1994-01-11,26-290,DEN,DET,8,0,12:00,0,0,,0,0,,0,0,,1,2,3,2,0,0,2,3,0,-0.5,
29,252,30,1994-01-14,26-293,DEN,NJN,-7,0,8:00,1,3,.333,0,0,,1,2,.500,1,2,3,0,0,0,0,1,3,1.8,
30,253,31,1994-01-16,26-295,DEN,BOS,-5,0,28:00,7,11,.636,0,0,,3,4,.750,4,7,11,3,1,0,1,2,17,17.9,
31,254,32,1994-01-18,26-297,DEN,POR,-1,0,7:00,0,1,.000,0,0,,1,2,.500,0,0,0,0,0,0,1,0,1,-1.1,
32,255,33,1994-01-20,26-299,DEN,HOU,5,0,12:00,0,1,.000,0,0,,1,2,.500,0,0,0,1,0,0,0,5,1,-1.4,
33,256,34,1994-01-22,26-301,DEN,SEA,7,0,12:00,1,3,.333,0,0,,0,0,,0,3,3,0,0,0,0,1,2,0.8,
34,257,35,1994-01-27,26-306,DEN,IND,7,0,12:00,2,4,.500,0,0,,2,2,1.000,2,1,3,0,0,0,0,1,6,5.3,
35,258,36,1994-01-29,26-308,DEN,DET,18,0,9:00,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,1,2,1.6,
36,259,37,1994-02-01,26-311,DEN,CHI,-20,0,7:00,2,4,.500,0,0,,0,0,,1,2,3,1,0,0,0,0,4,4.0,
37,260,38,1994-02-02,26-312,DEN,GSW,-13,0,14:00,2,3,.667,0,0,,2,2,1.000,2,1,3,0,0,0,0,0,6,6.4,
38,261,39,1994-02-04,26-314,DEN,SAC,25,0,19:00,4,7,.571,0,0,,3,4,.750,3,2,5,0,0,0,2,1,11,7.6,
39,262,40,1994-02-06,26-316,DEN,DAL,10,0,17:00,0,2,.000,0,0,,0,0,,0,4,4,1,0,1,1,4,0,-1.4,
40,263,41,1994-02-08,26-318,DEN,UTA,-1,0,10:00,0,0,,0,0,,0,2,.000,1,1,2,0,3,0,2,1,0,0.8,
41,264,42,1994-02-10,26-320,DEN,SAS,-7,0,4:00,0,2,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,-0.7,
42,265,43,1994-02-15,26-325,DEN,CLE,-12,0,16:00,2,3,.667,0,0,,0,0,,2,0,2,0,0,1,1,1,4,3.4,
43,266,44,1994-02-16,26-326,DEN,MIL,12,0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
44,267,45,1994-02-18,26-328,DEN,CHI,25,0,17:00,1,3,.333,0,0,,2,2,1.000,1,5,6,0,0,1,0,4,4,3.6,
45,268,46,1994-02-20,26-330,DEN,ATL,5,0,3:00,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0.7,
46,269,47,1994-02-22,26-332,DEN,HOU,-1,0,11:00,1,3,.333,0,0,,0,0,,0,1,1,2,0,0,0,1,2,1.6,
47,270,48,1994-02-23,26-333,DEN,BOS,8,0,3:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,
48,271,49,1994-02-25,26-335,DEN,NYK,8,0,10:00,1,2,.500,0,0,,0,0,,0,1,1,0,0,1,1,1,2,0.6,
49,272,50,1994-02-27,26-337,DEN,POR,-7,0,13:00,2,2,1.000,0,0,,2,2,1.000,0,2,2,0,1,0,1,0,6,6.0,
50,273,51,1994-03-04,26-342,DEN,ORL,9,0,7:00,2,2,1.000,0,0,,1,2,.500,0,2,2,0,1,0,1,0,5,4.6,
51,274,52,1994-03-06,26-344,DEN,MIN,20,0,17:00,2,3,.667,0,0,,2,2,1.000,0,1,1,0,0,0,1,1,6,3.6,
52,275,53,1994-03-08,26-346,DEN,ORL,-7,0,4:00,0,0,,0,0,,0,0,,0,2,2,1,0,0,0,0,0,1.3,
53,276,54,1994-03-09,26-347,DEN,MIA,-22,0,16:00,2,3,.667,0,0,,1,2,.500,1,3,4,0,1,0,2,3,5,2.7,
54,277,55,1994-03-11,26-349,DEN,WSB,-7,0,9:00,0,2,.000,0,0,,2,2,1.000,0,2,2,0,1,0,0,1,2,1.8,
55,278,56,1994-03-14,26-352,DEN,SAS,28,0,8:00,3,4,.750,0,0,,3,3,1.000,1,2,3,0,0,1,0,1,9,9.0,
56,279,57,1994-03-17,26-355,DEN,LAC,3,0,5:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,
57,280,58,1994-03-18,26-356,DEN,SAC,-12,0,7:00,0,2,.000,0,0,,0,0,,1,2,3,1,0,0,0,1,0,0.2,
58,281,59,1994-03-20,26-358,DEN,WSB,33,0,20:00,2,6,.333,0,0,,0,0,,1,5,6,0,1,0,2,2,4,1.0,
59,282,60,1994-03-22,26-360,DEN,MIL,14,0,7:00,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,1,2,0.9,
60,283,61,1994-03-24,26-362,DEN,MIA,12,0,4:00,1,1,1.000,0,0,,1,1,1.000,0,0,0,0,0,0,0,0,3,2.7,
61,284,62,1994-03-26,26-364,DEN,DAL,11,0,13:00,2,5,.400,0,0,,1,6,.167,1,1,2,1,0,0,1,0,5,1.0,
62,285,63,1994-03-28,27-001,DEN,SEA,-14,0,14:00,4,6,.667,0,0,,0,0,,2,2,4,1,0,1,1,3,8,6.6,
63,286,64,1994-04-03,27-007,DEN,PHO,-10,0,3:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
64,287,65,1994-04-05,27-009,DEN,LAC,-1,0,3:00,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,1,0,-0.7,
65,288,66,1994-04-07,27-011,DEN,SEA,14,0,8:00,1,4,.250,0,0,,4,4,1.000,3,0,3,0,1,0,0,0,6,6.7,
66,289,67,1994-04-08,27-012,DEN,LAL,13,0,5:00,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,0,1,0,-0.1,
67,290,68,1994-04-10,27-014,DEN,HOU,-1,0,1:00,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,2.0,
68,291,69,1994-04-12,27-016,DEN,PHO,-5,0,5:00,0,3,.000,0,0,,0,0,,1,0,1,1,0,0,0,0,0,-0.7,
69,292,70,1994-04-17,27-021,DEN,MIN,11,0,10:00,1,1,1.000,0,0,,0,0,,0,4,4,0,0,0,0,1,2,2.5,
70,293,71,1994-04-19,27-023,DEN,LAL,7,0,13:00,4,5,.800,0,0,,2,2,1.000,2,1,3,0,1,0,0,1,10,10.4,
71,294,72,1994-04-20,27-024,DEN,LAC,15,0,6:00,0,0,,0,0,,0,2,.000,0,3,3,1,0,0,0,2,0,0.0,
72,295,73,1994-04-22,27-026,DEN,UTA,-7,0,7:00,0,1,.000,0,0,,4,4,1.000,1,0,1,0,0,0,0,2,4,3.2,
73,296,74,1994-04-24,27-028,DEN,HOU,8,0,26:00,5,9,.556,0,0,,2,2,1.000,3,5,8,3,1,1,2,1,12,12.7,
