,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,100,1,1969-03-26,30-138,BOS,PHI,14,,,0,,,,,,1,1,1.000,,,,,,,,,1,,
1,101,2,1969-03-28,30-140,BOS,PHI,31,,,6,,,,,,6,8,.750,,,,,,,,,18,,
2,102,3,1969-03-30,30-142,BOS,PHI,7,,,4,,,,,,3,4,.750,,,,,,,,,11,,
3,103,4,1969-04-01,30-144,BOS,PHI,-3,,,2,,,,,,2,2,1.000,,,,,,,,,6,,
4,104,5,1969-04-04,30-147,BOS,PHI,3,,,1,,,,,,1,3,.333,,,,,,,,,3,,
5,105,6,1969-04-09,30-152,BOS,NYK,15,,,6,,,,,,1,2,.500,,,,,,,,,13,,
6,106,7,1969-04-10,30-153,BOS,NYK,-10,,,2,,,,,,5,5,1.000,,,,,,,,,9,,
7,107,8,1969-04-13,30-156,BOS,NYK,1,,,1,,,,,,2,2,1.000,,,,,,,,,4,,
8,108,9,1969-04-14,30-157,BOS,NYK,-8,,,1,,,,,,1,2,.500,,,,,,,,,3,,
9,109,10,1969-04-18,30-161,BOS,NYK,1,,,2,,,,,,1,2,.500,,,,,,,,,5,,
10,110,11,1969-04-25,30-168,BOS,LAL,-6,,4:00,0,0,,,,,0,0,,,,0,1,,,,2,0,,
11,111,12,1969-04-27,30-170,BOS,LAL,6,,6:00,3,7,.429,,,,0,0,,,,1,0,,,,3,6,,
12,112,13,1969-04-29,30-172,BOS,LAL,1,,13:00,1,4,.250,,,,1,1,1.000,,,1,0,,,,2,3,,
13,113,14,1969-05-01,30-174,BOS,LAL,-13,,7:00,1,1,1.000,,,,0,0,,,,2,0,,,,2,2,,
14,114,15,1969-05-03,30-176,BOS,LAL,9,,9:00,1,1,1.000,,,,1,1,1.000,,,2,0,,,,4,3,,
