,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,390,1,1965-10-16,26-342,BOS,CIN,4,,,1,8,.125,,,,0,0,,,,2,,,,,3,2,,
1,391,2,1965-10-20,26-346,BOS,LAL,4,,17:00,2,5,.400,,,,0,0,,,,4,0,,,,6,4,,
2,392,3,1965-10-23,26-349,BOS,STL,-10,,24:00,4,6,.667,,,,6,9,.667,,,5,0,,,,3,14,,
3,393,4,1965-10-28,26-354,BOS,CIN,-5,,,4,10,.400,,,,6,6,1.000,,,6,2,,,,5,14,,
4,394,5,1965-10-29,26-355,BOS,DET,-2,,,6,,,,,,1,1,1.000,,,,,,,,6,13,,
5,395,6,1965-10-31,26-357,BOS,BAL,5,,25:00,2,8,.250,,,,2,2,1.000,,,9,1,,,,6,6,,
6,396,7,1965-11-05,26-362,BOS,BAL,11,,,3,,,,,,0,2,.000,,,,,,,,,6,,
7,397,8,1965-11-06,26-363,BOS,PHI,10,,,6,13,.462,,,,1,1,1.000,,,2,1,,,,6,13,,
8,398,9,1965-11-09,27-001,BOS,BAL,14,,19:00,5,13,.385,,,,2,5,.400,,,1,0,,,,6,12,,
9,399,10,1965-11-11,27-003,BOS,STL,4,,13:00,2,5,.400,,,,0,0,,,,4,1,,,,6,4,,
10,400,11,1965-11-12,27-004,BOS,PHI,-9,,,5,9,.556,,,,1,1,1.000,,,5,0,,,,6,11,,
11,401,12,1965-11-13,27-005,BOS,DET,29,,28:00,4,10,.400,,,,7,7,1.000,,,0,0,,,,4,15,,
12,402,13,1965-11-16,27-008,BOS,SFW,3,,,2,12,.167,,,,4,4,1.000,,,1,3,,,,6,8,,
13,403,14,1965-11-17,27-009,BOS,LAL,-10,,,2,7,.286,,,,1,1,1.000,,,5,1,,,,6,5,,
14,404,15,1965-11-19,27-011,BOS,CIN,26,,26:00,9,18,.500,,,,3,3,1.000,,,4,0,,,,6,21,,
15,405,16,1965-11-20,27-012,BOS,NYK,14,,26:00,4,12,.333,,,,2,2,1.000,,,3,2,,,,5,10,,
16,406,17,1965-11-24,27-016,BOS,NYK,15,,28:00,6,8,.750,,,,4,4,1.000,,,11,2,,,,6,16,,
17,407,18,1965-11-26,27-018,BOS,DET,20,,28:00,8,14,.571,,,,1,2,.500,,,2,0,,,,5,17,,
18,408,19,1965-11-27,27-019,BOS,LAL,6,,31:00,8,21,.381,,,,2,4,.500,,,12,0,,,,3,18,,
19,409,20,1965-12-03,27-025,BOS,PHI,-16,,24:00,3,9,.333,,,,4,6,.667,,,2,1,,,,5,10,,
20,410,21,1965-12-04,27-026,BOS,STL,6,,45:00,9,23,.391,,,,7,9,.778,,,12,1,,,,5,25,,
21,411,22,1965-12-05,27-027,BOS,CIN,-9,,,9,20,.450,,,,5,6,.833,,,16,0,,,,6,23,,
22,412,23,1965-12-07,27-029,BOS,STL,16,,37:00,7,18,.389,,,,7,9,.778,,,13,5,,,,4,21,,
23,413,24,1965-12-08,27-030,BOS,LAL,2,,38:00,6,13,.462,,,,4,4,1.000,,,12,2,,,,6,16,,
24,414,25,1965-12-11,27-033,BOS,SFW,37,,29:00,8,16,.500,,,,8,10,.800,,,9,2,,,,2,24,,
25,415,26,1965-12-15,27-037,BOS,CIN,-7,,,3,,,,,,2,3,.667,,,,,,,,,8,,
26,416,27,1965-12-17,27-039,BOS,DET,2,,,9,,,,,,3,7,.429,,,,,,,,,21,,
27,417,28,1965-12-22,27-044,BOS,NYK,3,,24:00,1,7,.143,,,,1,2,.500,,,4,3,,,,4,3,,
28,418,29,1965-12-25,27-047,BOS,BAL,14,,,5,,,,,,1,1,1.000,,,,,,,,,11,,
29,419,30,1965-12-26,27-048,BOS,BAL,21,,28:00,2,9,.222,,,,7,8,.875,,,10,0,,,,5,11,,
30,420,31,1965-12-28,27-050,BOS,PHI,-9,,,6,12,.500,,,,0,1,.000,,,12,1,,,,4,12,,
31,421,32,1965-12-29,27-051,BOS,NYK,3,,26:00,6,13,.462,,,,5,5,1.000,,,9,2,,,,6,17,,
32,422,33,1965-12-30,27-052,BOS,SFW,3,,,12,,,,,,1,1,1.000,,,,,,,,,25,,
33,423,34,1966-01-01,27-054,BOS,STL,-2,,19:00,2,9,.222,,,,3,4,.750,,,3,2,,,,6,7,,
34,424,35,1966-01-02,27-055,BOS,LAL,11,,,3,5,.600,,,,2,2,1.000,,,4,0,,,,4,8,,
35,425,36,1966-01-05,27-058,BOS,LAL,-7,,,3,10,.300,,,,3,4,.750,,,5,1,,,,4,9,,
36,426,37,1966-01-07,27-060,BOS,SFW,1,,,6,12,.500,,,,3,3,1.000,,,4,1,,,,5,15,,
37,427,38,1966-01-08,27-061,BOS,SFW,28,,,4,,,,,,2,3,.667,,,,,,,,,10,,
38,428,39,1966-01-12,27-065,BOS,LAL,12,,34:00,4,13,.308,,,,2,4,.500,,,10,1,,,,5,10,,
39,429,40,1966-01-14,27-067,BOS,PHI,-12,,,2,7,.286,,,,0,0,,,,6,0,,,,2,4,,
40,430,41,1966-01-28,27-081,BOS,DET,-3,,9:00,1,8,.125,,,,0,0,,,,4,0,,,,0,2,,
41,431,42,1966-01-29,27-082,BOS,NYK,12,,,3,,,,,,2,3,.667,,,,,,,,,8,,
42,432,43,1966-01-30,27-083,BOS,NYK,3,,23:00,7,15,.467,,,,4,6,.667,,,3,1,,,,4,18,,
43,433,44,1966-02-01,27-085,BOS,DET,19,,,3,,,,,,8,10,.800,,,,,,,,,14,,
44,434,45,1966-02-02,27-086,BOS,DET,-6,,,6,,,,,,6,7,.857,,,,,,,,,18,,
45,435,46,1966-02-04,27-088,BOS,STL,22,,22:00,8,11,.727,,,,4,7,.571,,,6,1,,,,4,20,,
46,436,47,1966-02-05,27-089,BOS,BAL,-19,,,6,,,,,,4,4,1.000,,,,,,,,,16,,
47,437,48,1966-02-06,27-090,BOS,PHI,1,,,2,2,1.000,,,,3,4,.750,,,5,2,,,,6,7,,
48,438,49,1966-02-07,27-091,BOS,SFW,5,,,7,14,.500,,,,2,3,.667,,,6,5,,,,4,16,,
49,439,50,1966-02-09,27-093,BOS,NYK,4,,25:00,7,14,.500,,,,4,6,.667,,,6,1,,,,5,18,,
50,440,51,1966-02-10,27-094,BOS,SFW,-11,,28:00,3,9,.333,,,,0,1,.000,,,6,0,,,,3,6,,
51,441,52,1966-02-11,27-095,BOS,SFW,3,,30:00,3,6,.500,,,,1,2,.500,,,7,1,,,,6,7,,
52,442,53,1966-02-12,27-096,BOS,PHI,2,,,1,4,.250,,,,3,3,1.000,,,4,0,,,,3,5,,
53,443,54,1966-02-15,27-099,BOS,CIN,-13,,,4,9,.444,,,,1,1,1.000,,,14,1,,,,3,9,,
54,444,55,1966-02-18,27-102,BOS,SFW,-22,,,4,11,.364,,,,4,4,1.000,,,6,2,,,,5,12,,
55,445,56,1966-02-19,27-103,BOS,LAL,4,,,4,9,.444,,,,5,6,.833,,,7,3,,,,4,13,,
56,446,57,1966-02-21,27-105,BOS,LAL,7,,,5,10,.500,,,,1,1,1.000,,,10,2,,,,5,11,,
57,447,58,1966-02-22,27-106,BOS,SFW,8,,,5,11,.455,,,,2,4,.500,,,8,3,,,,4,12,,
58,448,59,1966-02-24,27-108,BOS,STL,28,,15:00,3,8,.375,,,,2,3,.667,,,7,1,,,,2,8,,
59,449,60,1966-02-26,27-110,BOS,NYK,5,,24:00,2,9,.222,,,,3,6,.500,,,8,4,,,,6,7,,
60,450,61,1966-02-27,27-111,BOS,BAL,-40,,,4,,,,,,4,4,1.000,,,,,,,,,12,,
61,451,62,1966-03-01,27-113,BOS,STL,25,,18:00,2,4,.500,,,,0,0,,,,1,1,,,,3,4,,
62,452,63,1966-03-02,27-114,BOS,NYK,36,,20:00,4,11,.364,,,,4,4,1.000,,,10,1,,,,5,12,,
63,453,64,1966-03-04,27-116,BOS,STL,-20,,15:00,7,17,.412,,,,2,3,.667,,,11,0,,,,2,16,,
64,454,65,1966-03-05,27-117,BOS,PHI,-17,,,5,14,.357,,,,0,0,,,,10,1,,,,6,10,,
65,455,66,1966-03-06,27-118,BOS,PHI,-3,,,8,12,.667,,,,5,5,1.000,,,12,4,,,,5,21,,
66,456,67,1966-03-07,27-119,BOS,STL,2,,41:00,5,12,.417,,,,7,8,.875,,,9,2,,,,5,17,,
67,457,68,1966-03-10,27-122,BOS,CIN,4,,,3,9,.333,,,,3,3,1.000,,,9,0,,,,4,9,,
68,458,69,1966-03-13,27-125,BOS,BAL,31,,,8,,,,,,3,5,.600,,,,,,,,,19,,
69,459,70,1966-03-17,27-129,BOS,DET,25,,,4,,,,,,3,4,.750,,,,,,,,,11,,
70,460,71,1966-03-19,27-131,BOS,NYK,13,,40:00,12,15,.800,,,,3,7,.429,,,6,5,,,,4,27,,
71,461,72,1966-03-20,27-132,BOS,CIN,17,,,9,,,,,,5,6,.833,,,,,,,,,23,,
