,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,204,1,2016-04-17,33-336,SAS,MEM,32,1,20:35,6,10,.600,0,0,,3,3,1.000,0,1,1,6,0,0,3,1,15,11.5,+17
1,205,2,2016-04-19,33-338,SAS,MEM,26,1,22:40,3,9,.333,0,1,.000,0,0,,0,1,1,4,1,0,1,0,6,4.0,+11
2,206,3,2016-04-22,33-341,SAS,MEM,9,1,24:24,1,8,.125,0,2,.000,0,0,,0,2,2,7,1,0,3,3,2,-0.9,-11
3,207,4,2016-04-24,33-343,SAS,MEM,21,1,21:22,6,11,.545,1,3,.333,3,4,.750,0,0,0,2,0,0,2,2,16,8.9,+12
4,208,5,2016-04-30,33-349,SAS,OKC,32,1,26:42,1,3,.333,0,0,,0,0,,0,4,4,12,0,0,0,1,2,9.5,+27
5,209,6,2016-05-02,33-351,SAS,OKC,-1,1,26:33,3,9,.333,0,2,.000,1,1,1.000,0,1,1,6,1,0,1,1,7,6.0,-14
6,210,7,2016-05-06,33-355,SAS,OKC,4,1,34:36,7,14,.500,3,6,.500,2,2,1.000,0,8,8,5,0,0,1,2,19,16.1,0
7,211,8,2016-05-08,33-357,SAS,OKC,-14,1,32:19,10,16,.625,0,1,.000,2,2,1.000,0,0,0,3,1,1,4,0,22,14.6,-14
8,212,9,2016-05-10,33-359,SAS,OKC,-4,1,32:13,4,12,.333,0,1,.000,1,2,.500,1,3,4,5,1,1,1,4,9,6.0,+8
9,213,10,2016-05-12,33-361,SAS,OKC,-14,1,22:46,3,6,.500,0,0,,0,0,,0,1,1,3,1,0,2,1,6,4.0,-9
