,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,6,1,2015-04-18,23-159,CHI,MIL,12,0,14:31,2,7,.286,0,4,.000,0,0,,0,2,2,1,0,2,1,0,4,1.6,-6
1,7,2,2015-04-20,23-161,CHI,MIL,9,0,13:21,1,3,.333,1,3,.333,0,0,,0,2,2,1,0,0,1,2,3,0.8,+9
2,8,3,2015-04-23,23-164,CHI,MIL,7,0,26:59,5,9,.556,4,8,.500,2,2,1.000,0,0,0,0,0,0,2,4,16,8.1,+3
3,9,4,2015-04-25,23-166,CHI,MIL,-2,0,7:26,0,2,.000,0,0,,0,0,,1,1,2,0,0,0,1,2,0,-2.2,-16
4,10,5,2015-04-27,23-168,CHI,MIL,-6,0,24:18,0,3,.000,0,3,.000,0,0,,0,3,3,1,0,0,0,3,0,-1.7,-2
5,11,6,2015-04-30,23-171,CHI,MIL,54,0,12:00,2,5,.400,1,2,.500,0,0,,0,2,2,1,0,0,0,0,5,3.6,+15
6,12,8,2015-05-06,23-177,CHI,CLE,-15,0,13:50,1,3,.333,1,2,.500,0,0,,0,1,1,1,0,1,0,1,3,2.6,+5
7,13,9,2015-05-08,23-179,CHI,CLE,3,0,0:28,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,0
8,14,10,2015-05-10,23-181,CHI,CLE,-2,0,17:06,3,7,.429,1,3,.333,0,0,,0,4,4,1,0,0,0,0,7,5.2,-7
9,15,11,2015-05-12,23-183,CHI,CLE,-5,0,4:44,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-9
10,16,12,2015-05-14,23-185,CHI,CLE,-21,0,5:26,1,3,.333,1,1,1.000,2,2,1.000,0,1,1,0,0,0,0,1,5,3.2,+5
