,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1,1,1981-10-30,22-192,BOS,WSB,24,0,7:00,0,2,.000,0,,,1,2,.500,,,1,1,,,,0,1,,
1,2,2,1981-10-31,22-193,BOS,MIL,-16,0,8:00,1,2,.500,0,0,,0,0,,0,0,0,1,0,0,0,1,2,1.3,
2,3,3,1981-11-04,22-197,BOS,CHI,22,0,8:00,2,5,.400,0,,,0,0,,0,0,0,1,,,,1,4,,
3,4,4,1981-11-06,22-199,BOS,IND,17,0,5:00,1,1,1.000,0,,,1,2,.500,,,1,0,,,,,3,,
4,5,5,1981-11-07,22-200,BOS,DET,41,0,8:00,1,1,1.000,0,,,2,2,1.000,,,2,0,,,,,4,,
5,6,6,1981-11-11,22-204,BOS,KCK,15,0,1:00,0,0,,0,0,,0,0,,,,1,1,,,,,0,,
6,7,7,1981-11-13,22-206,BOS,NJN,14,0,9:00,2,4,.500,0,,,0,0,,0,0,0,1,,,,,4,,
7,8,8,1981-11-14,22-207,BOS,CLE,1,0,10:00,1,3,.333,0,,,1,2,.500,,,3,0,,,,,3,,
8,9,9,1981-11-20,22-213,BOS,MIL,23,0,6:00,1,4,.250,0,0,,1,2,.500,,,2,0,0,0,0,1,3,,
9,10,10,1981-11-25,22-218,BOS,GSW,21,0,1:00,1,2,.500,0,,,0,0,,,,2,0,,,,,2,,
10,11,11,1981-12-02,22-225,BOS,DET,1,0,3:00,0,2,.000,0,,,0,0,,0,0,0,0,,,,,0,,
11,12,12,1982-01-02,22-256,CHI,MIL,-7,0,6:00,3,3,1.000,0,0,,2,2,1.000,,,2,0,2,0,0,1,8,,
12,13,13,1982-01-05,22-259,CHI,DEN,6,0,6:00,3,5,.600,0,,,0,0,,,,1,3,,,,2,6,,
13,14,14,1982-01-06,22-260,CHI,BOS,14,0,11:00,1,1,1.000,0,0,,2,4,.500,,,1,0,,,,1,4,,
14,15,15,1982-01-08,22-262,CHI,LAL,6,0,5:00,0,2,.000,0,0,,0,0,,0,0,0,0,,,,0,0,,
15,16,16,1982-01-12,22-266,CHI,DET,-11,0,8:00,1,2,.500,0,0,,4,4,1.000,,,2,0,,0,,1,6,,
16,17,17,1982-01-14,22-268,CHI,NJN,-26,0,26:00,3,9,.333,0,0,,2,2,1.000,,,1,1,,,,3,8,,
17,18,18,1982-01-17,22-271,CHI,IND,-13,0,7:00,2,5,.400,0,0,,0,0,,,,3,0,,0,,2,4,,
18,19,19,1982-01-19,22-273,CHI,IND,10,0,4:00,1,2,.500,0,0,,0,0,,,,1,0,,0,,0,2,,
19,20,20,1982-01-22,22-276,CHI,CLE,15,0,13:00,1,2,.500,0,0,,1,3,.333,,,2,2,,,,0,3,,
20,21,21,1982-01-23,22-277,CHI,NYK,1,0,11:00,1,3,.333,0,0,,1,1,1.000,0,0,0,0,,,,5,3,,
21,22,22,1982-01-26,22-280,CHI,WSB,-10,0,2:00,0,0,,0,0,,0,0,,0,0,0,0,,,,0,0,,
22,23,23,1982-02-02,22-287,CHI,NJN,-4,0,3:00,2,3,.667,0,0,,0,0,,,,1,0,,,,1,4,,
23,24,24,1982-02-03,22-288,CHI,MIL,-15,0,8:00,0,3,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-1.4,
24,25,25,1982-02-05,22-290,CHI,DET,-7,0,5:00,2,3,.667,0,0,,2,2,1.000,,,1,0,,,,0,6,,
25,26,26,1982-02-07,22-292,CHI,PHI,-16,0,5:00,0,2,.000,0,0,,0,0,,,,1,0,,0,,0,0,,
26,27,27,1982-02-13,22-298,CHI,MIL,-30,0,12:00,5,6,.833,0,0,,0,0,,,,1,0,0,1,0,1,10,,
