,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,93,1,1996-11-01,30-309,HOU,SAC,11,0,3:00,0,5,.000,0,3,.000,0,0,,0,1,1,1,0,0,0,0,0,-2.5,
1,94,2,1996-11-02,30-310,HOU,PHO,15,0,7:00,0,2,.000,0,2,.000,1,2,.500,1,0,1,2,0,0,0,0,1,1.3,
2,95,3,1996-11-04,30-312,HOU,UTA,3,0,3:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
3,96,4,1996-11-05,30-313,HOU,SAC,22,0,5:00,0,3,.000,0,1,.000,0,0,,0,0,0,0,1,0,0,0,0,-1.1,
4,97,5,1996-11-07,30-315,HOU,DEN,2,0,16:00,5,7,.714,2,4,.500,0,0,,1,1,2,0,1,0,0,1,12,10.7,
5,98,6,1996-11-09,30-317,HOU,UTA,6,0,7:00,0,3,.000,0,2,.000,2,2,1.000,1,1,2,1,0,0,0,1,2,1.2,
6,99,7,1996-11-12,30-320,HOU,LAL,-11,0,25:00,2,7,.286,0,5,.000,1,1,1.000,0,0,0,5,0,0,1,2,5,2.6,
7,100,8,1996-11-19,30-327,HOU,MIN,29,0,10:00,1,3,.333,0,0,,0,0,,1,0,1,1,0,0,1,0,2,0.7,
8,101,9,1996-11-21,30-329,HOU,PHO,10,0,6:00,1,2,.500,1,2,.500,2,3,.667,0,0,0,0,0,0,1,0,5,2.6,
9,102,10,1996-11-23,30-331,HOU,GSW,5,0,5:00,0,4,.000,0,3,.000,2,2,1.000,0,0,0,0,0,0,0,0,2,-0.8,
10,103,11,1996-11-29,30-337,HOU,BOS,26,0,24:00,4,7,.571,0,1,.000,1,2,.500,2,2,4,1,0,0,2,2,9,5.2,
11,104,12,1996-11-30,30-338,HOU,WSB,4,0,8:00,2,2,1.000,0,0,,0,0,,0,0,0,1,0,0,1,0,4,3.1,
12,105,13,1996-12-04,30-342,HOU,BOS,5,0,7:00,2,4,.500,0,2,.000,1,1,1.000,0,1,1,0,0,0,0,1,5,2.9,
13,106,14,1996-12-07,30-345,HOU,PHI,15,0,12:00,4,6,.667,4,5,.800,0,0,,0,1,1,0,0,0,0,1,12,9.3,
14,107,15,1996-12-10,30-348,HOU,MIN,2,0,3:00,0,0,,0,0,,0,0,,0,2,2,0,0,0,1,1,0,-0.8,
15,108,16,1996-12-12,30-350,HOU,DET,19,0,14:00,1,5,.200,1,2,.500,0,0,,1,0,1,1,1,0,1,2,3,0.5,
16,109,17,1996-12-14,30-352,HOU,SEA,9,0,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,2,0,-1.8,
17,110,18,1996-12-19,30-357,HOU,SAS,-14,0,11:00,2,4,.500,1,2,.500,2,2,1.000,1,2,3,0,1,0,2,0,7,5.3,
18,111,19,1996-12-21,30-359,HOU,MIA,-20,1,32:00,2,7,.286,1,3,.333,3,5,.600,1,1,2,3,0,0,2,2,8,3.4,
19,112,20,1997-01-02,31-005,HOU,POR,-16,0,2:00,1,1,1.000,0,0,,0,0,,0,0,0,0,1,0,0,0,2,2.7,
20,113,21,1997-01-04,31-007,HOU,LAC,-4,0,7:00,1,1,1.000,0,0,,0,1,.000,0,0,0,0,0,0,0,1,2,0.9,
21,114,22,1997-01-10,31-013,HOU,PHI,21,0,4:00,1,2,.500,0,1,.000,0,1,.000,0,1,1,1,0,0,0,0,2,1.6,
22,115,23,1997-01-11,31-014,HOU,CHI,-24,0,2:00,0,0,,0,0,,0,2,.000,0,0,0,0,0,0,0,0,0,-0.8,
23,116,24,1997-01-14,31-017,HOU,NYK,20,0,5:00,1,2,.500,0,1,.000,0,0,,1,2,3,0,0,0,0,1,2,1.9,
24,117,25,1997-02-06,31-040,HOU,DET,-9,0,6:00,1,3,.333,0,1,.000,5,5,1.000,1,0,1,1,0,0,0,1,7,6.3,
25,118,26,1997-02-14,31-048,HOU,SEA,-20,0,4:00,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,1,1,3,1.3,
26,119,27,1997-02-17,31-051,HOU,ATL,29,0,7:00,1,4,.250,0,2,.000,2,2,1.000,0,0,0,2,0,0,0,0,4,3.0,
