,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,664,1,1992-02-27,32-069,SAS,GSW,21,0,7:00,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.0,
1,665,2,1992-03-03,32-074,SAS,MIN,1,0,4:00,1,2,.500,0,0,,0,0,,0,0,0,0,1,0,0,0,2,2.0,
2,666,3,1992-03-04,32-075,SAS,UTA,-9,0,6:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
3,667,4,1992-03-07,32-078,SAS,PHO,13,0,24:00,3,6,.500,0,0,,0,0,,0,1,1,4,4,0,0,3,6,8.9,
4,668,5,1992-03-08,32-079,SAS,DAL,12,0,23:00,3,5,.600,3,5,.600,2,2,1.000,2,3,5,1,2,0,2,2,11,10.9,
5,669,6,1992-03-10,32-081,SAS,ATL,11,0,19:00,2,5,.400,0,1,.000,0,0,,0,2,2,1,1,0,1,0,4,2.6,
6,670,7,1992-03-12,32-083,SAS,HOU,6,0,18:00,4,4,1.000,1,1,1.000,1,2,.500,0,3,3,1,0,0,1,1,10,8.6,
7,671,8,1992-03-14,32-085,SAS,UTA,7,0,24:00,4,9,.444,0,3,.000,4,4,1.000,0,1,1,3,2,0,1,3,12,9.5,
8,672,9,1992-03-16,32-087,SAS,CHH,-5,0,28:00,5,14,.357,3,6,.500,2,2,1.000,1,2,3,1,0,1,1,4,15,7.3,
9,673,10,1992-03-18,32-089,SAS,SAC,29,0,24:00,5,11,.455,2,3,.667,0,0,,1,4,5,1,1,0,3,2,12,6.1,
10,674,11,1992-03-21,32-092,SAS,SEA,5,0,23:00,3,5,.600,0,1,.000,0,0,,0,0,0,1,1,0,0,2,6,4.6,
11,675,12,1992-03-23,32-094,SAS,PHI,-13,0,27:00,3,6,.500,3,5,.600,0,0,,0,2,2,5,1,0,1,2,9,9.3,
12,676,13,1992-03-25,32-096,SAS,CHH,-5,0,16:00,2,7,.286,0,2,.000,0,0,,0,1,1,1,0,0,1,4,4,-1.7,
13,677,14,1992-03-27,32-098,SAS,MIA,-17,0,23:00,0,4,.000,0,1,.000,3,4,.750,1,0,1,1,0,0,0,3,3,0.0,
14,678,15,1992-03-29,32-100,SAS,DET,-4,0,5:00,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,
15,679,16,1992-03-30,32-101,SAS,NJN,-8,0,21:00,2,5,.400,1,2,.500,1,2,.500,1,2,3,0,0,1,0,3,6,3.7,
16,680,17,1992-04-01,32-103,SAS,LAL,18,0,8:00,0,2,.000,0,2,.000,0,0,,1,0,1,1,0,0,0,2,0,-0.8,
17,681,18,1992-04-03,32-105,SAS,ORL,-7,0,27:00,5,7,.714,1,1,1.000,1,2,.500,1,4,5,1,3,0,2,3,12,11.1,
18,682,19,1992-04-05,32-107,SAS,DEN,3,0,16:00,3,4,.750,1,2,.500,0,0,,0,1,1,1,1,0,0,1,7,7.0,
19,683,20,1992-04-07,32-109,SAS,HOU,-3,0,21:00,3,8,.375,2,4,.500,0,0,,0,1,1,1,2,1,0,0,8,7.3,
20,684,21,1992-04-12,32-114,SAS,POR,-26,0,7:00,2,4,.500,0,1,.000,0,0,,0,0,0,1,0,0,1,0,4,1.7,
21,685,22,1992-04-16,32-118,SAS,PHO,-20,0,17:00,4,7,.571,0,2,.000,0,0,,0,1,1,0,0,0,0,0,8,5.0,
22,686,23,1992-04-17,32-119,SAS,DEN,14,0,20:00,4,7,.571,1,3,.333,2,2,1.000,0,1,1,1,1,0,0,3,11,8.5,
23,687,24,1992-04-19,32-121,SAS,UTA,-11,0,7:00,1,3,.333,1,2,.500,0,0,,0,0,0,1,1,0,0,1,3,2.6,
