,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,79,1,1987-11-06,25-225,DAL,UTA,2,0,16:00,1,3,.333,0,0,,0,0,,2,1,3,1,0,0,1,3,2,0.5,
1,80,2,1987-11-07,25-226,DAL,SAS,-24,0,16:00,2,4,.500,0,0,,1,2,.500,2,5,7,1,0,1,3,4,5,2.3,
2,81,3,1987-11-10,25-229,DAL,SEA,16,0,20:00,1,2,.500,0,0,,4,4,1.000,0,2,2,2,2,0,3,0,6,6.0,
3,82,4,1987-11-11,25-230,DAL,UTA,-29,0,15:00,1,2,.500,0,0,,0,2,.000,0,2,2,1,0,0,1,4,2,-1.1,
4,83,5,1987-11-13,25-232,DAL,SEA,-8,0,11:00,1,2,.500,0,0,,1,2,.500,1,1,2,2,0,0,1,2,3,2.2,
5,84,6,1987-11-14,25-233,DAL,POR,11,0,4:00,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-1.5,
6,85,7,1987-11-18,25-237,DAL,LAC,10,0,7:00,1,1,1.000,0,0,,1,2,.500,0,1,1,0,0,0,1,2,3,0.8,
7,86,8,1987-11-20,25-239,DAL,LAL,-3,0,16:00,2,4,.500,0,0,,0,0,,1,0,1,2,0,3,1,1,4,4.8,
8,87,9,1987-11-21,25-240,DAL,SAC,7,0,9:00,0,0,,0,0,,0,0,,1,0,1,2,0,1,0,3,0,1.6,
9,88,10,1987-11-25,25-244,DAL,DET,6,0,12:00,1,1,1.000,0,0,,3,4,.750,1,1,2,1,0,0,1,3,5,3.8,
10,89,11,1987-11-27,25-246,DAL,CHI,1,0,16:00,0,0,,0,0,,0,2,.000,1,1,2,2,0,0,1,4,0,-1.0,
11,90,12,1987-11-28,25-247,DAL,DEN,-8,0,15:00,0,2,.000,0,0,,2,2,1.000,1,3,4,1,1,2,3,5,2,0.3,
12,91,13,1987-12-04,25-253,DAL,GSW,21,0,20:00,1,4,.250,0,0,,0,0,,1,1,2,2,0,2,0,4,2,1.8,
13,92,14,1987-12-05,25-254,DAL,DEN,13,0,14:00,4,5,.800,0,0,,1,2,.500,2,1,3,0,0,0,2,0,9,6.4,
14,93,15,1987-12-09,25-258,DAL,SAC,27,0,21:00,2,5,.400,0,0,,0,0,,2,5,7,0,0,0,3,2,4,0.4,
