,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,19,1,1994-04-28,32-083,IND,ORL,1,0,3:00,2,3,.667,0,0,,0,0,,0,0,0,1,2,0,1,0,4,4.4,
1,20,2,1994-04-30,32-085,IND,ORL,2,0,8:00,3,3,1.000,0,0,,0,0,,0,0,0,2,0,0,2,2,6,3.7,
2,21,3,1994-05-02,32-087,IND,ORL,13,0,20:00,4,8,.500,0,1,.000,0,0,,1,0,1,1,3,0,1,2,8,6.6,
3,22,4,1994-05-10,32-095,IND,ATL,11,0,17:00,3,4,.750,0,0,,0,0,,1,0,1,4,0,0,0,2,6,7.1,
4,23,5,1994-05-12,32-097,IND,ATL,-23,0,14:00,4,6,.667,0,0,,1,1,1.000,1,2,3,2,0,0,2,2,9,6.3,
5,24,6,1994-05-14,32-099,IND,ATL,20,0,18:00,5,8,.625,0,0,,0,0,,1,1,2,3,0,0,2,1,10,7.1,
6,25,7,1994-05-15,32-100,IND,ATL,16,0,14:00,2,5,.400,0,1,.000,1,2,.500,1,0,1,5,0,0,0,1,5,5.7,
7,26,8,1994-05-17,32-102,IND,ATL,-12,0,18:00,3,5,.600,0,0,,3,3,1.000,2,1,3,3,0,0,1,1,9,9.1,
8,27,9,1994-05-19,32-104,IND,ATL,19,0,11:00,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,1,0,0,-1.0,
9,28,10,1994-05-24,32-109,IND,NYK,-11,1,25:00,3,6,.500,0,0,,5,5,1.000,0,0,0,2,1,0,1,2,11,8.6,
10,29,11,1994-05-26,32-111,IND,NYK,-11,0,13:00,1,4,.250,0,1,.000,1,1,1.000,1,1,2,1,0,0,2,1,3,-0.1,
11,30,12,1994-05-28,32-113,IND,NYK,20,0,16:00,0,1,.000,0,0,,0,0,,0,0,0,5,1,0,2,5,0,-0.2,
12,31,13,1994-05-30,32-115,IND,NYK,6,0,15:00,1,5,.200,0,0,,2,2,1.000,0,1,1,2,1,0,1,1,4,2.2,
13,32,14,1994-06-01,32-117,IND,NYK,7,0,12:00,3,6,.500,0,1,.000,0,1,.000,1,0,1,0,0,0,1,1,6,1.9,
14,33,15,1994-06-03,32-119,IND,NYK,-7,0,25:00,4,6,.667,0,1,.000,4,5,.800,3,2,5,5,2,1,3,3,12,13.7,
15,34,16,1994-06-05,32-121,IND,NYK,-4,0,18:00,1,5,.200,0,0,,0,0,,0,1,1,1,0,0,2,3,2,-3.3,
