,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1068,1,2013-10-30,36-277,DAL,ATL,9,0,25:22,9,16,.563,2,5,.400,1,2,.500,0,4,4,2,1,0,2,3,21,13.4,-6
1,1069,2,2013-11-01,36-279,DAL,HOU,-8,0,26:41,2,8,.250,0,3,.000,2,2,1.000,2,3,5,1,0,1,1,3,6,2.7,-5
2,1070,3,2013-11-02,36-280,DAL,MEM,12,0,25:47,3,8,.375,1,4,.250,4,5,.800,0,1,1,2,0,0,0,1,11,7.5,+8
3,1071,4,2013-11-05,36-283,DAL,LAL,19,0,18:01,3,10,.300,2,5,.400,0,0,,0,1,1,3,0,0,0,3,8,3.4,+4
4,1072,5,2013-11-06,36-284,DAL,OKC,-14,0,13:46,0,4,.000,0,2,.000,0,0,,0,1,1,2,0,0,0,1,0,-1.5,-13
5,1073,7,2013-11-09,36-287,DAL,MIL,8,0,20:53,4,11,.364,1,4,.250,4,4,1.000,1,2,3,3,1,1,5,5,13,5.0,+6
6,1074,8,2013-11-12,36-290,DAL,WAS,10,0,25:40,6,13,.462,4,9,.444,0,0,,1,2,3,3,0,0,0,4,16,11.1,+16
7,1075,9,2013-11-15,36-293,DAL,MIA,-6,0,27:12,7,12,.583,3,6,.500,4,4,1.000,1,2,3,1,1,1,3,3,21,14.9,-15
8,1076,10,2013-11-16,36-294,DAL,ORL,8,0,23:54,4,10,.400,2,7,.286,2,2,1.000,0,3,3,1,1,0,0,0,12,9.2,+11
9,1077,11,2013-11-18,36-296,DAL,PHI,3,0,24:32,2,5,.400,1,3,.333,1,2,.500,0,4,4,2,1,2,2,2,6,5.1,+12
10,1078,12,2013-11-20,36-298,DAL,HOU,3,0,25:11,2,7,.286,0,3,.000,5,7,.714,1,4,5,5,2,0,1,2,9,9.7,+6
11,1079,13,2013-11-22,36-300,DAL,UTA,10,0,21:56,3,9,.333,2,5,.400,0,1,.000,1,3,4,0,0,1,2,3,8,1.6,-11
12,1080,14,2013-11-23,36-301,DAL,DEN,-2,0,24:02,6,13,.462,4,5,.800,0,0,,1,2,3,0,0,1,0,1,16,10.9,-18
