,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,102,1,1992-11-06,26-252,SAC,SAS,8,0,17:00,0,1,.000,0,0,,0,0,,0,1,1,1,1,0,1,3,0,-0.9,
1,103,2,1992-11-08,26-254,SAC,LAL,10,0,3:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,
2,104,3,1992-11-10,26-256,SAC,LAC,2,0,3:00,1,1,1.000,0,0,,0,1,.000,0,0,0,0,0,0,0,0,2,1.3,
3,105,4,1992-11-11,26-257,SAC,LAC,-8,0,17:00,3,3,1.000,0,0,,2,4,.500,1,0,1,1,0,0,2,1,8,5.3,
4,106,5,1992-11-14,26-260,SAC,SEA,-16,0,7:00,0,2,.000,0,0,,4,4,1.000,3,1,4,0,1,0,3,1,4,2.6,
5,107,6,1992-11-17,26-263,SAC,HOU,-7,0,1:00,0,0,,0,0,,2,2,1.000,0,0,0,1,0,0,0,0,2,2.7,
6,108,7,1992-11-18,26-264,SAC,PHO,-16,0,14:00,3,7,.429,0,0,,3,4,.750,3,0,3,0,0,1,1,3,9,5.5,
7,109,8,1992-11-20,26-266,SAC,POR,-5,0,6:00,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,1,3,0,-2.2,
8,110,9,1992-11-23,26-269,SAC,SEA,4,0,8:00,1,1,1.000,0,0,,0,0,,0,2,2,1,0,0,0,0,2,3.0,
9,111,10,1992-11-27,26-273,SEA,DAL,23,1,33:00,2,5,.400,0,1,.000,3,6,.500,0,3,3,5,1,0,1,3,7,6.3,
10,112,11,1992-11-28,26-274,SEA,SAS,-7,0,19:00,0,2,.000,0,0,,2,2,1.000,0,2,2,1,0,0,1,3,2,-0.3,
11,113,12,1992-12-01,26-277,SEA,ORL,14,0,15:00,1,1,1.000,0,0,,1,2,.500,0,0,0,1,0,0,2,1,3,0.6,
12,114,13,1992-12-03,26-279,SEA,DAL,17,0,19:00,2,6,.333,0,0,,4,6,.667,2,0,2,4,1,1,1,4,8,7.1,
13,115,14,1992-12-05,26-281,SEA,MIN,37,0,18:00,5,7,.714,0,1,.000,0,0,,1,4,5,0,0,0,2,3,10,5.8,
14,116,15,1992-12-08,26-284,SEA,NYK,-12,0,15:00,1,5,.200,0,1,.000,2,2,1.000,3,0,3,2,1,0,1,1,4,4.0,
15,117,16,1992-12-09,26-285,SEA,PHI,-11,0,20:00,3,6,.500,1,1,1.000,1,2,.500,1,0,1,2,0,0,1,0,8,5.7,
16,118,17,1992-12-11,26-287,SEA,BOS,10,0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
17,119,18,1992-12-18,26-294,SEA,POR,17,0,14:00,0,2,.000,0,0,,3,4,.750,0,1,1,1,2,1,1,3,3,2.7,
18,120,19,1992-12-19,26-295,SEA,LAC,20,0,17:00,4,6,.667,0,0,,0,0,,1,1,2,2,1,1,3,4,8,4.9,
19,121,20,1992-12-22,26-298,SEA,POR,11,0,13:00,1,3,.333,0,0,,0,0,,0,1,1,0,0,0,1,3,2,-1.6,
