,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,46,1,1972-03-31,27-002,NYK,BAL,-3,,,13,,,,,,5,7,.714,,,,,,,,,31,,
1,47,2,1972-04-02,27-004,NYK,BAL,22,,,12,,,,,,6,10,.600,,,,,,,,,30,,
2,48,3,1972-04-04,27-006,NYK,BAL,-1,,,10,,,,,,7,8,.875,,,,,,,,,27,,
3,49,4,1972-04-06,27-008,NYK,BAL,6,,,10,,,,,,4,6,.667,,,,,,,,,24,,
4,50,5,1972-04-09,27-011,NYK,BAL,24,,,7,,,,,,5,5,1.000,,,,,,,,,19,,
5,51,6,1972-04-11,27-013,NYK,BAL,6,,,8,,,,,,6,7,.857,,,,,,,,,22,,
6,52,7,1972-04-13,27-015,NYK,BOS,22,,,14,,,,,,8,10,.800,,,,,,,,,36,,
7,53,8,1972-04-16,27-018,NYK,BOS,1,,,6,,,,,,6,9,.667,,,,,,,,,18,,
8,54,9,1972-04-19,27-021,NYK,BOS,-6,,,9,,,,,,10,11,.909,,,,,,,,,28,,
9,55,10,1972-04-21,27-023,NYK,BOS,18,,,6,,,,,,5,10,.500,,,,,,,,,17,,
10,56,11,1972-04-23,27-025,NYK,BOS,8,,,5,,,,,,11,15,.733,,,,,,,,,21,,
11,57,12,1972-04-26,27-028,NYK,LAL,22,1,44:00,6,14,.429,,,,2,4,.500,,,12,11,,,,2,14,,
12,58,13,1972-04-30,27-032,NYK,LAL,-14,1,47:00,9,14,.643,,,,3,3,1.000,,,7,7,,,,3,21,,
13,59,14,1972-05-03,27-035,NYK,LAL,-11,1,39:00,9,15,.600,,,,7,7,1.000,,,6,4,,,,3,25,,
14,60,15,1972-05-05,27-037,NYK,LAL,-5,1,50:00,10,15,.667,,,,4,7,.571,,,8,8,,,,4,24,,
15,61,16,1972-05-07,27-039,NYK,LAL,-14,1,47:00,14,24,.583,,,,3,6,.500,,,7,10,,,,3,31,,
