,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,131,1,1994-11-04,25-276,UTA,MIA,11,0,17:00,6,9,.667,1,2,.500,0,1,.000,2,1,3,1,0,0,1,2,13,9.3,
1,132,2,1994-11-05,25-277,UTA,SEA,-7,0,12:00,1,2,.500,1,1,1.000,0,0,,0,3,3,0,0,0,0,5,3,0.9,
2,133,3,1994-11-07,25-279,UTA,ATL,18,0,17:00,5,6,.833,3,4,.750,1,1,1.000,1,2,3,0,1,1,2,4,14,11.2,
3,134,4,1994-11-09,25-281,UTA,SAS,-8,0,22:00,3,10,.300,2,8,.250,4,4,1.000,0,3,3,2,0,0,0,1,12,8.1,
4,135,5,1994-11-11,25-283,UTA,GSW,-8,0,18:00,5,6,.833,2,3,.667,0,2,.000,1,1,2,1,0,1,2,5,12,7.4,
5,136,6,1994-11-12,25-284,UTA,DEN,-9,0,27:00,6,10,.600,2,4,.500,0,0,,0,2,2,1,1,0,0,5,14,9.7,
6,137,7,1994-11-14,25-286,UTA,NYK,13,0,21:00,0,3,.000,0,1,.000,4,6,.667,0,1,1,1,0,0,1,3,4,-0.1,
7,138,8,1994-11-18,25-290,UTA,DET,25,0,20:00,0,1,.000,0,1,.000,2,2,1.000,0,4,4,3,1,1,2,3,2,3.1,
8,139,9,1994-11-19,25-291,UTA,GSW,-4,0,13:00,2,5,.400,1,1,1.000,0,0,,2,0,2,0,0,0,0,4,5,2.1,
9,140,10,1994-11-21,25-293,UTA,PHO,15,0,18:00,3,9,.333,1,6,.167,0,0,,0,1,1,1,1,0,1,0,7,2.9,
10,141,11,1994-11-23,25-295,UTA,SEA,10,0,7:00,0,0,,0,0,,0,0,,0,0,0,1,0,0,2,0,0,-1.3,
11,142,12,1994-11-25,25-297,UTA,CHI,30,0,16:00,4,5,.800,1,2,.500,0,0,,0,0,0,2,0,0,0,1,9,8.1,
12,143,13,1994-11-27,25-299,UTA,SAC,5,0,7:00,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,2,0,0,-2.4,
13,144,14,1994-11-29,25-301,UTA,POR,11,0,1:00,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,
14,145,15,1994-12-13,25-315,DET,CHI,-20,0,17:00,2,4,.500,1,3,.333,0,0,,0,2,2,3,0,0,2,3,5,2.5,
15,146,16,1994-12-14,25-316,DET,CHH,-13,0,10:00,0,2,.000,0,0,,2,2,1.000,0,0,0,1,0,0,0,2,2,0.5,
16,147,17,1994-12-17,25-319,DET,PHI,5,0,5:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,
17,148,18,1994-12-21,25-323,DET,NJN,-18,0,16:00,1,5,.200,0,1,.000,1,2,.500,1,1,2,1,1,0,1,3,3,0.0,
18,149,19,1994-12-23,25-325,DET,ATL,-20,0,3:00,0,0,,0,0,,0,0,,0,1,1,2,0,0,0,1,0,1.3,
19,150,20,1995-01-11,25-344,UTA,DEN,26,0,11:00,1,2,.500,0,1,.000,0,0,,1,1,2,2,1,1,0,1,2,4.7,
20,151,21,1995-01-13,25-346,UTA,BOS,2,0,2:00,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,0.0,
21,152,22,1995-01-23,25-356,UTA,DAL,5,0,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
22,153,23,1995-01-25,25-358,UTA,SAC,42,0,8:00,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,1,3,0,-2.2,
