,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,108,1,1990-11-02,25-065,CHI,PHI,-8,0,12:00,1,3,.333,0,0,,0,0,,0,2,2,1,0,2,2,5,2,-1.0,
1,109,2,1990-11-03,25-066,CHI,WSB,-1,0,11:00,1,2,.500,0,0,,3,4,.750,2,4,6,0,0,0,0,3,5,5.0,
2,110,3,1990-11-06,25-069,CHI,BOS,-2,0,14:00,1,3,.333,0,0,,0,1,.000,0,2,2,1,2,4,1,1,2,4.6,
3,111,4,1990-11-07,25-070,CHI,MIN,5,0,7:00,1,2,.500,0,0,,0,0,,1,1,2,0,0,1,0,1,2,2.3,
4,112,5,1990-11-09,25-072,CHI,BOS,20,0,8:00,0,1,.000,0,0,,0,0,,0,1,1,1,2,0,0,2,0,1.5,
5,113,6,1990-11-10,25-073,CHI,CHH,19,0,11:00,1,3,.333,0,1,.000,2,2,1.000,1,3,4,1,0,0,2,2,4,1.8,
6,114,7,1990-11-13,25-076,CHI,UTA,2,0,13:00,1,1,1.000,0,0,,0,0,,1,4,5,0,0,1,1,1,2,2.9,
7,115,8,1990-11-15,25-078,CHI,GSW,-10,0,4:00,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,4,0,2,-2.0,
8,116,9,1990-11-17,25-080,CHI,SEA,21,0,14:00,4,5,.800,0,0,,2,2,1.000,2,2,4,0,0,1,1,2,10,9.0,
9,117,10,1990-11-18,25-081,CHI,POR,-13,0,8:00,2,4,.500,0,1,.000,2,2,1.000,1,1,2,0,0,0,1,2,6,3.2,
10,118,11,1990-11-21,25-084,CHI,PHO,-2,0,4:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,3,0,-1.9,
11,119,12,1990-11-23,25-086,CHI,LAC,8,0,11:00,0,1,.000,0,0,,4,4,1.000,4,2,6,0,0,0,1,3,4,4.5,
12,120,13,1990-11-24,25-087,CHI,DEN,6,0,13:00,4,6,.667,0,0,,2,2,1.000,1,3,4,1,0,0,2,0,10,7.7,
13,121,14,1990-11-28,25-091,CHI,WSB,24,0,19:00,4,6,.667,0,0,,2,4,.500,3,3,6,1,0,2,0,2,10,10.9,
14,122,15,1990-11-30,25-093,CHI,IND,29,0,15:00,2,5,.400,0,0,,2,2,1.000,2,6,8,0,0,0,1,2,6,4.7,
15,123,16,1990-12-01,25-094,CHI,CLE,35,0,11:00,0,1,.000,0,0,,0,0,,0,3,3,1,0,1,3,1,0,-1.8,
16,124,17,1990-12-04,25-097,CHI,PHO,28,0,6:00,1,3,.333,0,0,,0,0,,1,3,4,2,1,0,0,0,2,4.3,
17,125,18,1990-12-07,25-100,CHI,NYK,10,0,9:00,1,3,.333,0,0,,0,0,,1,2,3,0,0,1,1,3,2,0.1,
18,126,19,1990-12-08,25-101,CHI,POR,-8,0,4:00,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,3,2,0,-3.8,
19,127,20,1990-12-14,25-107,CHI,LAC,40,0,16:00,4,7,.571,0,0,,1,2,.500,3,6,9,1,0,2,2,4,9,7.7,
