,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,647,1,1965-10-16,31-009,BOS,CIN,4,,,5,17,.294,,,,0,0,,,,9,,,,,4,10,,
1,648,2,1965-10-20,31-013,BOS,LAL,4,,36:00,9,19,.474,,,,3,4,.750,,,18,0,,,,5,21,,
2,649,3,1965-10-23,31-016,BOS,STL,-10,,26:00,6,14,.429,,,,2,2,1.000,,,2,0,,,,5,14,,
3,650,4,1965-10-28,31-021,BOS,CIN,-5,,,10,18,.556,,,,3,4,.750,,,3,5,,,,6,23,,
4,651,5,1965-10-29,31-022,BOS,DET,-2,,,4,,,,,,1,1,1.000,,,,,,,,,9,,
5,652,6,1965-10-31,31-024,BOS,BAL,5,,36:00,9,21,.429,,,,6,8,.750,,,13,1,,,,2,24,,
6,653,7,1965-11-05,31-029,BOS,BAL,11,,,12,,,,,,4,5,.800,,,,,,,,,28,,
7,654,8,1965-11-06,31-030,BOS,PHI,10,,,2,11,.182,,,,0,0,,,,5,0,,,,4,4,,
8,655,9,1965-11-09,31-033,BOS,BAL,14,,23:00,7,,,,,,2,4,.500,,,4,0,,,,3,16,,
9,656,10,1965-11-11,31-035,BOS,STL,4,,20:00,5,11,.455,,,,1,1,1.000,,,7,1,,,,3,11,,
10,657,11,1965-11-12,31-036,BOS,PHI,-9,,,6,15,.400,,,,4,5,.800,,,3,2,,,,6,16,,
11,658,12,1965-11-13,31-037,BOS,DET,29,,20:00,7,12,.583,,,,0,0,,,,4,0,,,,1,14,,
12,659,13,1965-11-19,31-043,BOS,CIN,26,,13:00,2,4,.500,,,,0,0,,,,2,1,,,,3,4,,
13,660,14,1965-11-20,31-044,BOS,NYK,14,,16:00,3,8,.375,,,,1,1,1.000,,,6,0,,,,1,7,,
14,661,15,1965-11-24,31-048,BOS,NYK,15,,18:00,7,12,.583,,,,0,0,,,,3,1,,,,3,14,,
15,662,16,1965-11-26,31-050,BOS,DET,20,,23:00,10,24,.417,,,,4,4,1.000,,,8,2,,,,4,24,,
16,663,17,1965-11-27,31-051,BOS,LAL,6,,17:00,2,8,.250,,,,1,1,1.000,,,4,1,,,,4,5,,
17,664,18,1965-12-03,31-057,BOS,PHI,-16,,18:00,4,14,.286,,,,2,2,1.000,,,2,0,,,,2,10,,
18,665,19,1965-12-04,31-058,BOS,STL,6,,24:00,1,10,.100,,,,0,0,,,,4,0,,,,4,2,,
19,666,20,1965-12-05,31-059,BOS,CIN,-9,,,5,10,.500,,,,0,0,,,,3,1,,,,5,10,,
20,667,21,1965-12-07,31-061,BOS,STL,16,,42:00,7,20,.350,,,,2,2,1.000,,,5,4,,,,2,16,,
21,668,22,1965-12-08,31-062,BOS,LAL,2,,23:00,1,7,.143,,,,1,2,.500,,,4,1,,,,3,3,,
22,669,23,1965-12-11,31-065,BOS,SFW,37,,24:00,8,15,.533,,,,2,4,.500,,,7,4,,,,3,18,,
23,670,24,1965-12-15,31-069,BOS,CIN,-7,,,6,,,,,,3,3,1.000,,,,,,,,,15,,
24,671,25,1965-12-17,31-071,BOS,DET,2,,,3,,,,,,2,4,.500,,,,,,,,,8,,
25,672,26,1965-12-22,31-076,BOS,NYK,3,,15:00,2,7,.286,,,,1,1,1.000,,,1,0,,,,3,5,,
26,673,27,1965-12-25,31-079,BOS,BAL,14,,,4,,,,,,0,0,,,,,,,,,,8,,
27,674,28,1965-12-26,31-080,BOS,BAL,21,,24:00,5,12,.417,,,,0,0,,,,3,0,,,,1,10,,
28,675,29,1965-12-28,31-082,BOS,PHI,-9,,,3,9,.333,,,,2,2,1.000,,,2,4,,,,6,8,,
29,676,30,1965-12-29,31-083,BOS,NYK,3,,25:00,3,14,.214,,,,0,0,,,,5,2,,,,3,6,,
30,677,31,1965-12-30,31-084,BOS,SFW,3,,,2,,,,,,0,0,,,,,,,,,,4,,
31,678,32,1966-01-01,31-086,BOS,STL,-2,,20:00,3,8,.375,,,,2,2,1.000,,,3,1,,,,2,8,,
32,679,33,1966-01-02,31-087,BOS,LAL,11,,,1,7,.143,,,,3,3,1.000,,,2,1,,,,2,5,,
33,680,34,1966-01-05,31-090,BOS,LAL,-7,,,8,14,.571,,,,0,0,,,,4,2,,,,2,16,,
34,681,35,1966-01-07,31-092,BOS,SFW,1,,,1,4,.250,,,,1,1,1.000,,,3,1,,,,3,3,,
35,682,36,1966-01-08,31-093,BOS,SFW,28,,,7,,,,,,0,0,,,,,,,,,,14,,
36,683,37,1966-01-12,31-097,BOS,LAL,12,,19:00,6,16,.375,,,,0,0,,,,3,0,,,,2,12,,
37,684,38,1966-01-14,31-099,BOS,PHI,-12,,,1,9,.111,,,,2,3,.667,,,4,1,,,,5,4,,
38,685,39,1966-01-16,31-101,BOS,PHI,15,,21:00,9,19,.474,,,,0,0,,,,0,1,,,,2,18,,
39,686,40,1966-01-18,31-103,BOS,DET,-1,,,7,15,.467,,,,5,7,.714,,,4,0,,,,1,19,,
40,687,41,1966-01-19,31-104,BOS,BAL,40,,28:00,8,19,.421,,,,4,6,.667,,,14,2,,,,5,20,,
41,688,42,1966-01-21,31-106,BOS,CIN,17,,17:00,1,7,.143,,,,3,3,1.000,,,4,0,,,,4,5,,
42,689,43,1966-01-28,31-113,BOS,DET,-3,,3:00,1,2,.500,,,,0,0,,,,1,0,,,,1,2,,
43,690,44,1966-02-01,31-117,BOS,DET,19,,,1,,,,,,0,0,,,,,,,,,,2,,
44,691,45,1966-02-02,31-118,BOS,DET,-6,,,1,,,,,,0,0,,,,,,,,,,2,,
45,692,46,1966-02-04,31-120,BOS,STL,22,,16:00,2,10,.200,,,,1,2,.500,,,5,0,,,,3,5,,
46,693,47,1966-02-05,31-121,BOS,BAL,-19,,,5,,,,,,0,0,,,,,,,,,,10,,
47,694,48,1966-02-06,31-122,BOS,PHI,1,,,4,10,.400,,,,4,4,1.000,,,5,0,,,,6,10,,
48,695,49,1966-02-07,31-123,BOS,SFW,5,,,11,18,.611,,,,3,3,1.000,,,4,0,,,,4,25,,
