,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1,19,2015-12-04,25-202,BRK,NYK,-17,0,10:44,3,4,.750,0,0,,2,4,.500,2,2,4,0,0,1,0,0,8,8.3,+8
1,2,20,2015-12-06,25-204,BRK,GSW,-16,0,9:48,2,3,.667,0,0,,0,2,.000,1,2,3,0,0,1,1,2,4,2.1,+1
2,3,22,2015-12-10,25-208,BRK,PHI,9,0,12:39,3,4,.750,0,0,,0,0,,0,3,3,0,0,0,1,1,6,3.9,-7
3,4,23,2015-12-12,25-210,BRK,LAC,-5,0,7:19,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,1,1,2,0.9,-5
4,5,24,2015-12-14,25-212,BRK,ORL,-23,0,4:56,1,4,.250,0,0,,0,0,,2,2,4,0,0,0,0,0,2,1.6,-1
5,6,25,2015-12-16,25-214,BRK,MIA,-6,0,8:08,1,2,.500,0,0,,0,0,,1,3,4,1,0,2,0,0,2,4.7,+7
6,7,26,2015-12-18,25-216,BRK,IND,-7,0,8:39,0,0,,0,0,,0,0,,0,0,0,0,0,1,1,2,0,-1.1,-5
7,8,27,2015-12-20,25-218,BRK,MIN,-15,0,4:08,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,1,2,0.6,-1
8,9,28,2015-12-21,25-219,BRK,CHI,3,0,12:50,4,5,.800,0,0,,3,3,1.000,3,2,5,0,0,0,1,2,11,10.0,-3
9,10,29,2015-12-23,25-221,BRK,DAL,-1,0,6:37,2,3,.667,0,0,,1,2,.500,1,1,2,0,0,0,0,2,5,3.5,+5
10,11,30,2015-12-26,25-224,BRK,WAS,-15,0,10:18,3,4,.750,0,0,,1,3,.333,1,2,3,0,0,2,2,3,7,4.1,+10
11,12,31,2015-12-28,25-226,BRK,MIA,6,0,12:14,2,3,.667,0,0,,0,2,.000,2,1,3,1,0,2,1,2,4,3.9,+7
12,13,32,2015-12-30,25-228,BRK,ORL,-7,0,8:47,3,5,.600,0,0,,0,0,,1,0,1,0,0,0,0,2,6,3.6,0
13,14,33,2016-01-02,25-231,BRK,BOS,3,0,12:12,3,6,.500,0,0,,0,0,,3,4,7,0,0,0,0,1,6,5.9,-2
14,15,34,2016-01-04,25-233,BRK,BOS,-9,0,7:21,0,0,,0,0,,0,0,,0,2,2,0,0,1,0,2,0,0.5,-6
15,16,35,2016-01-06,25-235,BRK,TOR,-17,0,7:43,1,2,.500,0,0,,1,2,.500,0,1,1,0,0,1,0,1,3,2.2,-8
16,17,36,2016-01-08,25-237,BRK,ORL,-6,0,13:28,1,2,.500,0,0,,0,0,,1,3,4,0,0,1,1,1,2,1.9,+5
17,18,37,2016-01-09,25-238,BRK,DET,-14,0,17:52,3,5,.600,0,0,,0,0,,0,5,5,0,2,0,0,2,6,6.4,-11
18,19,38,2016-01-11,25-240,BRK,SAS,-27,0,7:43,1,2,.500,0,0,,0,0,,1,0,1,0,0,0,2,0,2,-0.3,-9
19,20,39,2016-01-13,25-242,BRK,NYK,6,0,6:20,1,3,.333,0,0,,0,0,,0,2,2,0,0,0,0,0,2,0.9,+6
20,21,41,2016-01-16,25-245,BRK,ATL,-28,0,12:00,1,2,.500,0,0,,1,4,.250,2,0,2,1,1,0,0,2,3,3.1,-12
21,22,42,2016-01-18,25-247,BRK,TOR,-12,0,10:24,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,2,2,0.5,-3
22,23,43,2016-01-20,25-249,BRK,CLE,-13,0,10:29,2,2,1.000,0,0,,2,2,1.000,1,1,2,0,0,1,1,1,6,5.7,+2
