,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,217,1,1960-10-22,26-103,STL,LAL,16,,,2,,,,,,1,1,1.000,,,,,,,,3,5,,
1,218,2,1960-10-23,26-104,STL,CIN,-11,,,0,,,,,,2,,,,,,,,,,,2,,
2,219,3,1960-10-25,26-106,STL,SYR,23,,,2,,,,,,0,0,,,,,,,,,4,4,,
3,220,4,1960-10-29,26-110,STL,CIN,16,,,5,,,,,,3,5,.600,,,,,,,,3,13,,
4,221,5,1960-11-02,26-114,STL,DET,15,,,5,,,,,,4,,,,,,,,,,4,14,,
5,222,6,1960-11-05,26-117,STL,NYK,15,,,2,,,,,,0,0,,,,,,,,,2,4,,
6,223,7,1960-11-09,26-121,STL,DET,6,,,4,15,.267,,,,3,4,.750,,,10,1,,,,5,11,,
7,224,8,1960-11-11,26-123,STL,PHW,-5,,,5,16,.313,,,,1,2,.500,,,14,0,,,,6,11,,
8,225,9,1960-11-12,26-124,STL,PHW,2,,,9,19,.474,,,,1,1,1.000,,,13,3,,,,4,19,,
9,226,10,1960-11-16,26-128,STL,BOS,-18,,31:00,5,19,.263,,,,0,2,.000,,,12,2,,,,2,10,,
10,227,11,1960-11-17,26-129,STL,DET,7,,,5,21,.238,,,,0,0,,,,15,3,,,,3,10,,
11,228,12,1960-11-18,26-130,STL,CIN,-1,,,1,,,,,,0,0,,,,,,,,,2,2,,
12,229,13,1960-11-19,26-131,STL,CIN,1,,,1,5,.200,,,,0,0,,,,,,,,,2,2,,
13,230,14,1960-11-22,26-134,STL,NYK,1,,,0,2,.000,,,,0,1,.000,,,3,,,,,2,0,,
14,231,15,1960-11-24,26-136,STL,SYR,35,,16:00,2,7,.286,,,,0,0,,,,9,,,,,1,4,,
15,232,16,1960-11-26,26-138,STL,LAL,13,,,3,11,.273,,,,0,0,,,,,,,,,4,6,,
16,233,17,1960-11-29,26-141,STL,BOS,-10,,24:00,3,11,.273,,,,2,4,.500,,,4,,,,,2,8,,
17,234,18,1960-11-30,26-142,STL,SYR,-9,,,9,20,.450,,,,0,0,,,,,,,,,5,18,,
18,235,19,1960-12-02,26-144,STL,NYK,6,,24:00,4,14,.286,,,,0,0,,,,12,,,,,1,8,,
19,236,20,1960-12-03,26-145,STL,PHW,4,,,5,14,.357,,,,2,8,.250,,,10,0,,,,3,12,,
20,237,21,1960-12-06,26-148,STL,DET,36,,15:00,7,,,,,,0,0,,,,6,,,,,0,14,,
21,238,22,1960-12-07,26-149,STL,DET,-30,,21:00,1,9,.111,,,,1,2,.500,,,4,,,,,0,3,,
22,239,23,1960-12-09,26-151,STL,SYR,13,,,0,,,,,,0,0,,,,,,,,,0,0,,
23,240,24,1960-12-10,26-152,STL,LAL,3,,,0,8,.000,,,,0,0,,,,,,,,,4,0,,
24,241,25,1960-12-12,26-154,STL,LAL,11,,,1,1,1.000,,,,0,0,,,,0,,,,,0,2,,
25,242,26,1960-12-14,26-156,STL,LAL,-11,,,4,15,.267,,,,3,3,1.000,,,6,,,,,4,11,,
26,243,27,1960-12-16,26-158,STL,PHW,5,,26:00,4,12,.333,,,,0,0,,,,4,3,,,,3,8,,
27,244,28,1960-12-17,26-159,STL,NYK,13,,,3,8,.375,,,,0,0,,,,,,,,,1,6,,
28,245,29,1960-12-18,26-160,STL,SYR,1,,,3,,,,,,2,5,.400,,,,,,,,2,8,,
29,246,30,1960-12-21,26-163,STL,BOS,-12,,,7,,,,,,0,3,.000,,,,,,,,2,14,,
30,247,31,1960-12-26,26-168,STL,SYR,21,,23:00,4,18,.222,,,,2,2,1.000,,,10,,,,,2,10,,
31,248,32,1960-12-28,26-170,STL,BOS,6,,26:00,5,16,.313,,,,1,3,.333,,,11,,,,,3,11,,
32,249,33,1960-12-29,26-171,STL,DET,-23,,,1,11,.091,,,,0,0,,,,11,,,,,0,2,,
33,250,34,1960-12-30,26-172,STL,LAL,8,,21:00,0,6,.000,,,,0,0,,,,6,,,,,2,0,,
34,251,35,1961-01-01,26-174,STL,CIN,-2,,,2,8,.250,,,,2,2,1.000,,,10,,,,,,6,,
35,252,36,1961-01-05,26-178,STL,LAL,-14,,,1,,,,,,0,0,,,,6,,,,,1,2,,
36,253,37,1961-01-06,26-179,STL,LAL,4,,,3,,,,,,4,4,1.000,,,8,,,,,3,10,,
37,254,38,1961-01-08,26-181,STL,BOS,29,,23:00,7,18,.389,,,,1,3,.333,,,9,,,,,3,15,,
38,255,39,1961-01-10,26-183,STL,CIN,9,,23:00,2,9,.222,,,,1,2,.500,,,6,,,,,4,5,,
39,256,40,1961-01-11,26-184,STL,SYR,-5,,,3,,,,,,1,1,1.000,,,,,,,,4,7,,
40,257,41,1961-01-12,26-185,STL,PHW,-9,,,4,15,.267,,,,1,2,.500,,,6,1,,,,2,9,,
41,258,42,1961-01-14,26-187,STL,DET,22,,,1,5,.200,,,,0,0,,,,,,,,,5,2,,
42,259,43,1961-01-15,26-188,STL,DET,-15,,13:00,0,3,.000,,,,0,1,.000,,,2,,,,,0,0,,
43,260,44,1961-01-18,26-191,STL,BOS,11,,7:00,1,3,.333,,,,0,0,,,,1,0,,,,1,2,,
44,261,45,1961-01-19,26-192,STL,PHW,-2,,20:00,4,11,.364,,,,1,2,.500,,,8,0,,,,5,9,,
45,262,46,1961-01-21,26-194,STL,NYK,23,,6:00,0,1,.000,,,,0,0,,,,1,,,,,2,0,,
