,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1,1,1994-11-05,24-143,HOU,MIN,30,0,5:00,1,2,.500,0,0,,1,2,.500,0,0,0,0,0,0,1,1,3,0.2,
1,2,2,1994-11-11,24-149,HOU,BOS,20,0,4:00,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-1.2,
2,3,3,1994-11-12,24-150,HOU,NJN,16,0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
3,4,4,1994-11-17,24-155,HOU,CHI,23,0,2:00,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,1,2,1.6,
4,5,5,1994-11-23,24-161,HOU,ORL,-23,0,3:00,1,2,.500,0,0,,0,0,,1,0,1,0,0,0,0,0,2,1.7,
5,6,6,1994-11-26,24-164,HOU,SEA,-4,0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
6,7,7,1994-11-29,24-167,HOU,DEN,15,0,10:00,2,5,.400,0,1,.000,0,0,,2,3,5,1,0,0,1,2,4,2.5,
7,8,8,1994-12-02,24-170,HOU,LAL,-18,0,10:00,1,2,.500,0,0,,1,4,.250,2,3,5,0,0,0,0,1,3,2.7,
8,9,9,1994-12-06,24-174,HOU,SEA,-13,0,3:00,0,0,,0,0,,1,4,.250,0,1,1,0,2,0,0,0,1,2.1,
9,10,10,1994-12-10,24-178,HOU,SAS,-12,0,2:00,0,0,,0,0,,1,2,.500,0,1,1,0,0,1,1,0,1,0.6,
10,11,11,1994-12-26,24-194,HOU,MIA,13,0,5:00,1,2,.500,0,0,,2,2,1.000,1,0,1,0,0,0,1,4,4,1.1,
11,12,12,1995-01-03,24-202,HOU,DAL,12,0,6:00,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.8,
12,13,13,1995-01-05,24-204,HOU,DAL,9,0,2:00,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2,1.3,
13,14,14,1995-01-16,24-215,HOU,MIN,-19,0,3:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.7,
14,15,15,1995-01-19,24-218,HOU,NYK,-16,0,2:00,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2,2.0,
15,16,16,1995-01-22,24-221,HOU,CHI,-19,0,2:00,1,1,1.000,0,0,,0,2,.000,0,0,0,0,0,0,0,0,2,0.9,
16,17,17,1995-01-28,24-227,HOU,MIN,21,0,8:00,1,5,.200,0,0,,4,4,1.000,2,1,3,0,0,0,3,5,6,-0.4,
17,18,18,1995-01-31,24-230,HOU,DEN,12,0,3:00,0,0,,0,0,,0,2,.000,0,2,2,0,0,0,0,0,0,-0.2,
18,19,19,1995-02-02,24-232,HOU,UTA,20,0,2:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,2,1,0,-2.1,
19,20,20,1995-02-05,24-235,HOU,PHO,24,0,3:00,1,2,.500,0,0,,2,2,1.000,0,0,0,0,0,1,0,1,4,3.3,
20,21,21,1995-02-06,24-236,HOU,POR,-38,0,12:00,0,3,.000,0,0,,2,2,1.000,1,1,2,1,0,2,1,2,2,1.2,
21,22,22,1995-02-09,24-239,HOU,LAC,-15,0,3:00,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,2,2,1.2,
22,23,23,1995-02-14,24-244,HOU,LAC,20,0,18:00,3,5,.600,0,0,,4,4,1.000,2,3,5,0,0,0,1,4,10,7.4,
23,24,24,1995-02-16,24-246,HOU,CHH,16,0,2:00,2,3,.667,0,0,,0,0,,2,0,2,0,0,0,0,0,4,4.1,
24,25,25,1995-02-17,24-247,HOU,WSB,17,0,2:00,0,1,.000,0,0,,0,0,,2,0,2,0,0,0,0,2,0,-0.1,
25,26,26,1995-03-03,24-261,HOU,MIN,-3,0,4:00,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4,
26,27,27,1995-03-05,24-263,HOU,SAS,-21,0,1:00,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,0,2,2.4,
27,28,28,1995-03-07,24-265,HOU,PHO,-11,0,3:00,1,1,1.000,0,0,,1,2,.500,0,1,1,0,0,0,0,0,3,2.6,
28,29,29,1995-03-14,24-272,HOU,PHI,29,0,7:00,1,3,.333,0,0,,1,2,.500,1,0,1,1,0,1,1,1,3,1.6,
29,30,30,1995-04-04,24-293,HOU,SAC,-4,0,3:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-2.1,
30,31,31,1995-04-06,24-295,HOU,GSW,8,0,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
31,32,32,1995-04-07,24-296,HOU,POR,-18,0,6:00,0,1,.000,0,0,,2,2,1.000,0,2,2,0,0,0,0,1,2,1.5,
32,33,33,1995-04-11,24-300,HOU,DAL,-9,0,14:00,2,2,1.000,0,0,,1,2,.500,1,3,4,0,0,1,1,1,5,4.9,
33,34,34,1995-04-17,24-306,HOU,LAC,10,0,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
34,35,35,1995-04-19,24-308,HOU,UTA,-19,0,5:00,1,1,1.000,0,0,,1,2,.500,1,0,1,0,0,0,0,0,3,3.0,
35,36,36,1995-04-20,24-309,HOU,SEA,-10,0,1:00,0,0,,0,0,,0,0,,2,1,3,0,0,0,2,0,0,-0.3,
36,37,37,1995-04-23,24-312,HOU,UTA,-6,0,20:00,1,3,.333,0,0,,1,2,.500,2,6,8,1,0,1,1,3,3,3.3,
