,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,212,1,2006-11-01,22-264,ATL,PHI,-13,1,42:19,4,9,.444,0,0,,7,8,.875,4,8,12,1,1,2,4,2,15,13.4,-9
1,213,2,2006-11-03,22-266,ATL,NYK,10,1,29:33,8,11,.727,0,0,,6,9,.667,2,5,7,4,1,0,1,5,22,20.0,-2
2,214,3,2006-11-05,22-268,ATL,ORL,13,1,25:18,4,6,.667,0,0,,9,10,.900,2,2,4,0,1,0,5,4,17,10.4,+10
3,215,4,2006-11-07,22-270,ATL,CLE,9,1,35:05,8,16,.500,0,0,,3,4,.750,2,2,4,1,1,1,3,2,19,11.2,+6
4,216,5,2006-11-10,22-273,ATL,TOR,9,1,29:44,3,7,.429,0,0,,3,8,.375,1,4,5,2,1,2,2,4,9,5.4,+18
5,217,6,2006-11-11,22-274,ATL,SEA,-1,1,43:33,8,14,.571,0,0,,5,7,.714,4,4,8,2,0,1,2,5,21,15.7,+2
6,218,7,2006-11-14,22-277,ATL,MIL,-2,1,26:55,3,6,.500,0,0,,2,2,1.000,1,3,4,2,1,0,2,4,8,5.4,-13
7,219,8,2006-11-18,22-281,ATL,MIA,-5,1,26:24,4,8,.500,0,0,,4,4,1.000,4,7,11,1,1,1,1,6,12,11.9,+4
8,220,9,2006-11-22,22-285,ATL,DET,-5,1,32:35,2,10,.200,0,0,,8,9,.889,3,4,7,0,0,2,3,3,12,5.9,-9
9,221,10,2006-11-24,22-287,ATL,TOR,4,1,33:17,7,11,.636,0,0,,4,4,1.000,2,5,7,2,2,1,3,3,18,15.9,+3
10,222,11,2006-11-25,22-288,ATL,ORL,-19,1,27:05,1,9,.111,0,0,,5,8,.625,7,4,11,2,1,0,3,5,7,3.4,-10
11,223,12,2006-11-28,22-291,ATL,WAS,-1,1,25:40,3,10,.300,0,0,,2,2,1.000,7,7,14,4,0,0,5,5,8,5.0,+1
12,224,13,2006-11-29,22-292,ATL,CHA,9,1,30:44,3,7,.429,0,0,,6,6,1.000,5,8,13,1,0,2,2,4,12,12.7,0
13,225,14,2006-12-01,22-294,ATL,CLE,-11,1,37:49,7,10,.700,0,0,,6,8,.750,3,8,11,2,2,1,0,5,20,21.6,-1
14,226,15,2006-12-03,22-296,ATL,POR,11,1,31:20,4,8,.500,0,0,,4,5,.800,1,2,3,3,2,0,0,3,12,11.8,+23
15,227,16,2006-12-05,22-298,ATL,SEA,-15,1,30:29,4,9,.444,0,0,,2,2,1.000,1,4,5,1,2,0,2,2,10,7.1,-12
16,228,17,2006-12-08,22-301,ATL,LAL,-11,1,34:10,6,13,.462,0,0,,0,0,,5,4,9,2,1,1,1,3,12,10.9,-3
17,229,18,2006-12-10,22-303,ATL,SAC,-25,1,24:12,0,4,.000,0,0,,9,12,.750,3,6,9,0,0,0,4,1,9,4.5,-12
