,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1,1,2001-10-30,29-204,DET,DAL,-7,0,17:00,3,6,.500,0,0,,0,0,,5,5,10,1,0,1,3,3,6,5.2,+1
1,2,2,2001-11-01,29-206,DET,MEM,10,0,13:00,3,5,.600,0,0,,0,0,,3,3,6,0,0,0,2,5,6,2.7,0
2,3,3,2001-11-02,29-207,DET,NJN,14,0,18:00,3,4,.750,0,0,,2,2,1.000,0,0,0,3,0,2,0,2,8,9.1,+6
3,4,4,2001-11-04,29-209,DET,WAS,22,0,16:00,2,5,.400,0,0,,1,2,.500,0,7,7,0,1,2,2,3,5,3.2,+4
4,5,5,2001-11-07,29-212,DET,CHI,24,0,18:00,5,8,.625,0,0,,5,7,.714,3,6,9,0,1,3,1,4,15,15.0,-2
5,6,6,2001-11-11,29-216,DET,POR,-2,0,13:00,1,3,.333,0,0,,1,2,.500,0,3,3,0,0,1,1,2,3,0.7,+4
6,7,7,2001-11-15,29-220,DET,DAL,26,0,25:00,7,10,.700,0,0,,2,2,1.000,1,7,8,2,0,1,2,3,16,13.5,+10
7,8,8,2001-11-17,29-222,DET,IND,6,0,6:00,0,2,.000,0,0,,1,2,.500,0,0,0,0,0,0,3,3,1,-5.0,-6
8,9,9,2001-11-20,29-225,DET,TOR,4,0,20:00,5,10,.500,0,0,,0,0,,2,2,4,1,1,2,2,1,10,7.7,+3
9,10,10,2001-11-21,29-226,DET,PHI,-5,0,11:00,3,4,.750,0,0,,2,2,1.000,2,1,3,0,0,1,0,5,8,6.8,-4
10,11,11,2001-11-23,29-228,DET,ATL,-7,0,19:00,4,10,.400,0,0,,2,2,1.000,1,4,5,0,0,0,0,1,10,6.1,-6
11,12,12,2001-11-24,29-229,DET,MEM,7,0,18:00,4,7,.571,0,0,,2,3,.667,0,2,2,1,1,0,4,2,10,3.8,-5
12,13,13,2001-11-26,29-231,DET,ORL,5,0,20:00,5,7,.714,0,0,,1,2,.500,3,2,5,1,2,2,1,3,11,12.3,+6
13,14,14,2001-11-28,29-233,DET,CHH,-8,0,13:00,0,1,.000,0,0,,2,2,1.000,0,2,2,0,0,3,0,4,2,2.4,+2
14,15,15,2001-11-30,29-235,DET,CHH,5,0,20:00,6,8,.750,0,0,,0,0,,0,3,3,1,0,2,0,2,12,11.0,+1
15,16,16,2001-12-01,29-236,DET,NYK,3,0,24:00,3,5,.600,0,0,,11,14,.786,2,2,4,0,0,1,2,5,17,12.2,+5
16,17,17,2001-12-04,29-239,DET,CLE,-12,0,20:00,4,9,.444,0,0,,1,2,.500,4,3,7,0,0,0,2,3,9,4.4,+4
17,18,18,2001-12-05,29-240,DET,SEA,4,0,15:00,0,3,.000,0,0,,4,4,1.000,1,1,2,1,0,2,0,3,4,3.8,0
18,19,19,2001-12-09,29-244,DET,HOU,28,0,17:00,6,10,.600,0,0,,0,0,,2,2,4,2,0,2,1,4,12,9.6,+22
19,20,20,2001-12-13,29-248,DET,NYK,2,0,15:00,0,1,.000,0,0,,2,2,1.000,2,4,6,0,0,1,2,2,2,1.8,+5
20,21,21,2001-12-16,29-251,DET,LAC,-5,0,14:00,1,5,.200,0,0,,0,0,,1,2,3,1,0,0,0,1,2,0.5,-3
21,22,22,2001-12-18,29-253,DET,SAC,-4,0,15:00,3,5,.600,0,0,,3,4,.750,2,1,3,1,1,1,2,2,9,7.6,+3
22,23,23,2001-12-19,29-254,DET,GSW,-13,0,14:00,2,6,.333,0,0,,0,0,,0,1,1,0,0,0,3,3,4,-3.3,-4
23,24,24,2001-12-21,29-256,DET,POR,-2,0,12:00,1,3,.333,0,0,,1,2,.500,2,3,5,0,0,1,3,3,3,-0.3,-6
24,25,25,2001-12-22,29-257,DET,SEA,-28,0,19:00,2,3,.667,0,0,,0,0,,1,2,3,1,1,0,2,3,4,2.5,-10
