,address,flood,followInfo
0,一瓶/2室2厅/97.9平米/南 北/精装/有电梯,中楼层(共13层)/2008年建板塔结合/陶然亭,60人关注/21次带看22天以前发布距离4号线陶然亭站862米房本满五年随时看房1510万单价154240元/平米
1,一瓶/2室1厅/113.31平米/南 北/精装,高楼层(共13层)/2008年建板塔结合/陶然亭,23人关注/21次带看1个月以前发布距离4号线陶然亭站862米房本满五年随时看房1670万单价147384元/平米
2,一瓶/2室1厅/99.31平米/南 北/精装/有电梯,低楼层(共13层)/2008年建板塔结合/陶然亭,130人关注/20次带看3个月以前发布距离4号线陶然亭站862米房本满五年1550万单价156077元/平米
3,一瓶/2室1厅/113.31平米/南 北/精装/有电梯,中楼层(共13层)/2008年建板塔结合/陶然亭,37人关注/9次带看1个月以前发布距离4号线陶然亭站862米房本满五年1695万单价149590元/平米
4,一瓶/3室2厅/151.21平米/东 西/精装/有电梯,高楼层(共13层)/2008年建板楼/陶然亭,26人关注/2次带看2个月以前发布房本满五年2060万单价136235元/平米
5,一瓶/4室2厅/274.03平米/南 北/精装,低楼层(共12层)/2006年建板塔结合/陶然亭,6人关注/1次带看1个月以前发布房本满五年3780万单价137942元/平米
6,一瓶/2室2厅/139.72平米/南/其他,高楼层(共13层)/2008年建板塔结合/陶然亭,3人关注/0次带看20天以前发布房本满五年2160万单价154595元/平米
7,一瓶/2室1厅/113.62平米/南 北/精装/有电梯,低楼层(共13层)/2008年建板塔结合/陶然亭,24人关注/2次带看20天以前发布距离4号线陶然亭站862米1630万单价143461元/平米
8,一瓶/4室1厅/214.05平米/东南 西北/精装/有电梯,高楼层(共13层)/2009年建板楼/陶然亭,30人关注/3次带看14天以前发布距离4号线陶然亭站1054米房本满五年2780万单价129877元/平米
9,一瓶/4室2厅/197.58平米/东 南 西/精装/有电梯,低楼层(共13层)/2008年建板楼/陶然亭,55人关注/5次带看1个月以前发布距离4号线陶然亭站1054米房本满五年2850万单价144246元/平米
10,一瓶/2房间1卫/56.63平米/东/精装/有电梯,顶层(共4层)/2008年建板楼/陶然亭,126人关注/5次带看2个月以前发布房本满两年329万单价58097元/平米
