,address,flood,followInfo
0,东厂胡同/1室1厅/42.82平米/东/毛坯/无电梯,中楼层(共5层)/1987年建板楼/灯市口,26人关注/33次带看2个月以前发布房本满五年随时看房490万单价114433元/平米
1,东厂胡同/2室1厅/57.69平米/西/精装/无电梯,中楼层(共5层)/1987年建板楼/灯市口,23人关注/0次带看5个月以前发布距离5号线东四站941米房本满五年740万单价128272元/平米
2,东厂胡同/1室1厅/39.69平米/东/简装/无电梯,顶层(共5层)/1987年建板楼/灯市口,11人关注/2次带看1个月以前发布距离5号线东四站941米房本满五年498万单价125473元/平米
3,东厂胡同/3室1厅/83.58平米/东 西/精装/无电梯,顶层(共5层)/1987年建板楼/灯市口,32人关注/38次带看7个月以前发布距离5号线东四站941米房本满五年886万单价106007元/平米
4,东厂胡同/2室1厅/66.07平米/东 西/其他/无电梯,顶层(共5层)/1987年建板楼/灯市口,38人关注/35次带看7个月以前发布房本满五年703万单价106403元/平米
5,东厂胡同/2室1厅/52.24平米/东/精装/无电梯,中楼层(共5层)/1987年建板楼/灯市口,49人关注/6次带看6个月以前发布房本满五年590万单价112941元/平米
6,东厂胡同/4室1厅/147.73平米/东南/简装,中楼层(共5层)/1987年建板楼/灯市口,61人关注/3次带看5个月以前发布距离5号线东四站941米房本满五年1600万单价108306元/平米
7,东厂胡同/3室1厅/75.97平米/南 西 北/简装/无电梯,中楼层(共6层)/1987年建板楼/灯市口,64人关注/3次带看5个月以前发布房本满五年920万单价121101元/平米
8,东厂胡同/2室1厅/61.57平米/西/精装/无电梯,中楼层(共5层)/1987年建板楼/灯市口,8人关注/0次带看4个月以前发布房本满五年800万单价129934元/平米
9,东厂胡同/1室1厅/44.17平米/南/其他/无电梯,中楼层(共6层)/1987年建板楼/灯市口,29人关注/14次带看3个月以前发布距离5号线东四站756米随时看房530万单价119991元/平米
10,东厂胡同/2室1厅/62.61平米/东 西/简装/无电梯,中楼层(共5层)/1987年建板楼/灯市口,40人关注/9次带看8个月以前发布730万单价116595元/平米
