,address,flood,followInfo
0,中海枫涟山庄/3室1厅/121.76平米/南 北/精装,中楼层(共9层)/2004年建板楼/西北旺,56人关注/30次带看22天以前发布距离16号线西北旺站895米房本满五年随时看房1160万单价95270元/平米
1,中海枫涟山庄/3室1厅/121.95平米/南 北/简装/有电梯,底层(共9层)/2004年建板楼/西北旺,86人关注/181次带看5个月以前发布距离16号线西北旺站787米房本满五年随时看房1100万单价90201元/平米
2,中海枫涟山庄/2室2厅/88.08平米/南 北/精装/有电梯,高楼层(共9层)/2004年建板楼/西北旺,40人关注/9次带看12天以前发布距离16号线西北旺站139米房本满五年890万单价101045元/平米
3,中海枫涟山庄/3室1厅/124平米/南 北/简装/有电梯,顶层(共11层)/2004年建板楼/西北旺,140人关注/37次带看一年前发布距离16号线西北旺站851米房本满五年1160万单价93549元/平米
4,中海枫涟山庄/3室2厅/122.18平米/南 北/精装,高楼层(共6层)/2004年建板楼/西北旺,47人关注/11次带看22天以前发布距离16号线西北旺站776米房本满五年1100万单价90032元/平米
5,中海枫涟山庄/3室1厅/122.52平米/南/简装/有电梯,低楼层(共8层)/2004年建板楼/西北旺,25人关注/8次带看7个月以前发布距离16号线西北旺站725米房本满五年1100万单价89782元/平米
6,中海枫涟山庄/3室1厅/122.05平米/南 北/精装/有电梯,底层(共6层)/2004年建板楼/西北旺,38人关注/0次带看8个月以前发布距离16号线西北旺站776米房本满五年1200万单价98321元/平米
7,中海枫涟山庄/3室2厅/122.08平米/南 北/其他/有电梯,高楼层(共9层)/2004年建板楼/西北旺,42人关注/9次带看10个月以前发布距离16号线西北旺站787米房本满两年1200万单价98297元/平米
8,中海枫涟山庄/3室2厅/122.68平米/南 北/简装/有电梯,中楼层(共11层)/2004年建板楼/西北旺,94人关注/5次带看1个月以前发布距离16号线西北旺站721米房本满五年1050万单价85589元/平米
9,中海枫涟山庄/3室1厅/121.96平米/南 北/精装/有电梯,低楼层(共11层)/2004年建板楼/西北旺,254人关注/48次带看9个月以前发布距离16号线西北旺站943米998万单价81831元/平米
10,中海枫涟山庄/3室1厅/121.7平米/南 北/简装/有电梯,底层(共6层)/2004年建板楼/西北旺,7人关注/0次带看4个月以前发布距离16号线西北旺站1129米房本满五年1180万单价96960元/平米
