,address,flood,followInfo
0,京投银泰琨御府/4室2厅/246.76平米/南 北/精装,顶层(共6层)/2015年建板楼/四季青,272人关注/157次带看一年前发布距离6号线慈寿寺站4米随时看房3200万单价129681元/平米
1,京投银泰琨御府/3室2厅/153.74平米/南 北/精装,中楼层(共6层)/2015年建板楼/四季青,114人关注/54次带看3个月以前发布距离6号线慈寿寺站4米2160万单价140497元/平米
2,京投银泰琨御府/2室2厅/125.7平米/南 北/其他,底层(共6层)/2015年建板楼/四季青,32人关注/2次带看15天以前发布距离6号线慈寿寺站4米1750万单价139221元/平米
3,京投银泰琨御府/2室2厅/116.94平米/南 北/精装,底层(共9层)/板楼/四季青,48人关注/14次带看1个月以前发布距离6号线慈寿寺站4米随时看房1650万单价141098元/平米
4,京投银泰琨御府/3室2厅/170.19平米/南 北/其他,中楼层(共9层)/2015年建板楼/四季青,15人关注/7次带看2个月以前发布距离6号线慈寿寺站4米2480万单价145720元/平米
5,京投银泰琨御府/2房间1卫/41.17平米/南/精装,高楼层(共10层)/2016年建板楼/四季青,1人关注/0次带看4天以前发布360万单价87443元/平米
6,京投银泰琨御府/1房间1卫/42.63平米/南/精装,低楼层(共10层)/2015年建板楼/四季青,76人关注/29次带看8个月以前发布随时看房298万单价69904元/平米
7,京投银泰琨御府/3房间1卫/52.39平米/北/精装,中楼层(共11层)/2015年建板楼/四季青,11人关注/0次带看22天以前发布距离6号线慈寿寺站4米393万单价75015元/平米
8,京投银泰琨御府/1房间1卫/42.33平米/南/精装,低楼层(共10层)/2015年建板楼/四季青,23人关注/8次带看6个月以前发布距离6号线慈寿寺站4米随时看房296万单价69927元/平米
9,京投银泰琨御府/3房间1卫/59.08平米/西 北/精装,底层(共10层)/2015年建板楼/四季青,61人关注/5次带看8个月以前发布距离6号线慈寿寺站4米420万单价71091元/平米
10,京投银泰琨御府/3房间1卫/76.41平米/南 西 北/精装,低楼层(共11层)/2015年建板楼/四季青,35人关注/2次带看4个月以前发布距离6号线慈寿寺站4米535万单价70018元/平米
11,京投银泰琨御府/2房间1卫/42.74平米/南/精装,高楼层(共10层)/2015年建板楼/四季青,101人关注/5次带看8个月以前发布距离6号线慈寿寺站4米299万单价69958元/平米
12,京投银泰琨御府/1房间1卫/45.66平米/南/精装,高楼层(共10层)/2015年建板楼/四季青,53人关注/1次带看4个月以前发布319万单价69865元/平米
13,京投银泰琨御府/1房间1卫/43.08平米/南/精装,中楼层(共11层)/2015年建板楼/四季青,57人关注/0次带看3个月以前发布距离6号线慈寿寺站4米300万单价69638元/平米
