,address,flood,followInfo
0,华龙苑南里/2室1厅/71.99平米/南 北/精装/无电梯,底层(共6层)/1995年建板楼/霍营,74人关注/51次带看13天以前发布距离8号线霍营站1025米房本满五年380万单价52786元/平米
1,华龙苑南里/2室1厅/74.23平米/南 北/精装/无电梯,底层(共6层)/1995年建板楼/霍营,103人关注/88次带看5个月以前发布距离8号线霍营站804米房本满五年386万单价52001元/平米
2,华龙苑南里/3室1厅/102.53平米/南 北/简装/无电梯,中楼层(共6层)/2000年建板楼/霍营,38人关注/15次带看27天以前发布距离8号线霍营站946米房本满五年480万单价46816元/平米
3,华龙苑南里/2室1厅/50.3平米/南 北/简装/无电梯,底层(共6层)/1997年建板楼/霍营,62人关注/30次带看1个月以前发布距离8号线霍营站1001米房本满五年310万单价61631元/平米
4,华龙苑南里/3室1厅/77.01平米/南 西 北/简装/无电梯,中楼层(共6层)/1995年建板楼/霍营,87人关注/7次带看29天以前发布距离8号线霍营站881米房本满五年390万单价50643元/平米
5,华龙苑南里/3室1厅/117.41平米/南 北/简装,底层(共6层)/1997年建板楼/霍营,64人关注/15次带看1个月以前发布距离8号线霍营站914米房本满五年随时看房500万单价42586元/平米
6,华龙苑南里/2室1厅/50.3平米/南 北/精装/无电梯,底层(共6层)/1997年建板楼/霍营,28人关注/10次带看1天以前发布距离8号线霍营站1001米房本满五年320万单价63619元/平米
7,华龙苑南里/1室1厅/53.25平米/南/精装/无电梯,顶层(共6层)/1995年建板楼/霍营,300人关注/4次带看2个月以前发布距离8号线霍营站760米房本满五年300万单价56339元/平米
8,华龙苑南里/2室1厅/74.73平米/南 北/精装/无电梯,底层(共6层)/1995年建板楼/霍营,49人关注/12次带看1个月以前发布距离8号线霍营站935米房本满两年390万单价52188元/平米
9,华龙苑南里/3室1厅/114.74平米/南 北/精装/无电梯,低楼层(共6层)/1999年建板楼/霍营,52人关注/20次带看19天以前发布距离8号线霍营站679米房本满五年470万单价40963元/平米
10,华龙苑南里/3室1厅/86.65平米/南 北/简装/无电梯,顶层(共6层)/1995年建板楼/霍营,45人关注/2次带看17天以前发布距离8号线霍营站1025米房本满两年375万单价43278元/平米
11,华龙苑南里/1室1厅/56.24平米/南 北/精装/无电梯,高楼层(共6层)/1997年建板楼/霍营,60人关注/2次带看2个月以前发布距离8号线霍营站1001米房本满两年320万单价56900元/平米
12,华龙苑南里/2室1厅/87.75平米/南 北/简装/无电梯,底层(共6层)/1999年建板楼/霍营,55人关注/1次带看4个月以前发布距离8号线霍营站946米400万单价45585元/平米
13,华龙苑南里/3室1厅/104.08平米/南 北/简装/无电梯,中楼层(共6层)/1999年建板楼/霍营,42人关注/2次带看1个月以前发布距离8号线霍营站807米房本满五年460万单价44197元/平米
