,address,flood,followInfo
0,城市广场/2室1厅/105.91平米/东南/精装/有电梯,中楼层(共26层)/1995年建塔楼/十里堡,22人关注/13次带看17天以前发布距离6号线十里堡站1144米房本满五年610万单价57597元/平米
1,城市广场/3室1厅/165.21平米/西南/简装/有电梯,中楼层(共26层)/1995年建塔楼/十里堡,120人关注/87次带看6个月以前发布距离6号线十里堡站1080米房本满五年随时看房820万单价49634元/平米
2,城市广场/2室1厅/118.82平米/西北/精装/有电梯,低楼层(共26层)/1995年建塔楼/十里堡,57人关注/29次带看7个月以前发布距离6号线十里堡站1080米房本满五年600万单价50497元/平米
3,城市广场/2室1厅/105.91平米/西南/精装/有电梯,中楼层(共26层)/1995年建塔楼/十里堡,7人关注/14次带看1个月以前发布距离6号线十里堡站1144米房本满五年638万单价60240元/平米
4,城市广场/2室1厅/106.69平米/西南/简装/有电梯,高楼层(共26层)/1995年建塔楼/十里堡,20人关注/17次带看31天以前发布距离6号线十里堡站1144米房本满五年605万单价56707元/平米
5,城市广场/2室1厅/123.56平米/西北/精装/有电梯,高楼层(共26层)/1995年建塔楼/十里堡,8人关注/7次带看1个月以前发布距离6号线十里堡站1080米房本满五年640万单价51797元/平米
6,城市广场/3室1厅/160.68平米/西南/简装/有电梯,低楼层(共26层)/1995年建塔楼/十里堡,144人关注/80次带看一年前发布房本满五年随时看房750万单价46677元/平米
7,城市广场/4室1厅/199.41平米/西南/精装/有电梯,低楼层(共26层)/1996年建塔楼/十里堡,30人关注/6次带看1个月以前发布房本满五年990万单价49647元/平米
8,城市广场/2室1厅/106.69平米/东南/精装,中楼层(共26层)/1995年建塔楼/十里堡,4人关注/2次带看1天以前发布距离6号线十里堡站1144米房本满五年608万单价56988元/平米
9,城市广场/3室1厅/160.68平米/西南/精装/有电梯,高楼层(共26层)/1995年建塔楼/十里堡,30人关注/9次带看1个月以前发布760万单价47299元/平米
10,城市广场/3室2厅/188.2平米/南 西/简装/有电梯,顶层(共26层)/1995年建塔楼/十里堡,41人关注/18次带看5个月以前发布距离6号线十里堡站1080米房本满五年920万单价48885元/平米
11,城市广场/2室1厅/126.59平米/东北/精装,高楼层(共26层)/1995年建塔楼/十里堡,6人关注/0次带看1天以前发布距离6号线十里堡站1144米646万单价51031元/平米
12,城市广场/4室1厅/199.41平米/西南/简装/有电梯,高楼层(共26层)/1996年建塔楼/十里堡,7人关注/0次带看1个月以前发布房本满五年1080万单价54160元/平米
