,address,flood,followInfo
0,太月园/2室1厅/90.52平米/南/精装/有电梯,低楼层(共27层)/1999年建塔楼/知春路,50人关注/25次带看16天以前发布距离10号线知春路站818米房本满五年840万单价92798元/平米
1,太月园/3室1厅/138.68平米/西南 北/精装/有电梯,低楼层(共18层)/1999年建塔楼/知春路,62人关注/17次带看29天以前发布距离10号线知春路站765米房本满五年1080万单价77878元/平米
2,太月园/3室2厅/204.26平米/东南/简装/有电梯,高楼层(共18层)/1999年建塔楼/知春路,46人关注/19次带看1个月以前发布距离10号线知春路站765米房本满五年随时看房1500万单价73436元/平米
3,太月园/2室1厅/109.9平米/东南/精装/有电梯,低楼层(共18层)/1999年建塔楼/知春路,158人关注/61次带看一年前发布房本满五年1030万单价93722元/平米
4,太月园/2室1厅/89.35平米/南 西/其他/有电梯,高楼层(共26层)/1999年建塔楼/知春路,134人关注/54次带看4个月以前发布距离10号线知春路站726米房本满五年750万单价83940元/平米
5,太月园/3室1厅/138.68平米/西北/其他/有电梯,中楼层(共18层)/1999年建塔楼/知春路,65人关注/41次带看5个月以前发布房本满五年1080万单价77878元/平米
6,太月园/2室1厅/83.52平米/东南/精装/有电梯,低楼层(共26层)/1999年建塔楼/知春路,55人关注/13次带看7个月以前发布距离10号线知春路站780米房本满五年790万单价94589元/平米
7,太月园/3室2厅/204.26平米/东南/精装/有电梯,高楼层(共18层)/1999年建塔楼/知春路,43人关注/7次带看11个月以前发布距离10号线知春路站765米房本满五年1736万单价84990元/平米
8,太月园/3室2厅/148.47平米/西南/简装/有电梯,高楼层(共27层)/1999年建塔楼/知春路,43人关注/4次带看1个月以前发布房本满五年1600万单价107766元/平米
9,太月园/2室1厅/89.99平米/东南/精装/有电梯,低楼层(共18层)/1999年建塔楼/知春路,153人关注/26次带看9个月以前发布房本满两年728万单价80898元/平米
10,太月园/2室1厅/90.14平米/东南/其他/有电梯,低楼层(共27层)/1999年建塔楼/知春路,58人关注/28次带看5个月以前发布房本满两年800万单价88751元/平米
11,太月园/2室1厅/89.99平米/东南/简装/有电梯,中楼层(共18层)/1999年建塔楼/知春路,40人关注/15次带看6个月以前发布距离10号线知春路站765米房本满五年730万单价81121元/平米
12,太月园/3室2厅/125.53平米/东南/简装/有电梯,中楼层(共26层)/1999年建塔楼/知春路,46人关注/15次带看3个月以前发布距离10号线知春路站780米房本满五年1300万单价103561元/平米
13,太月园/2室1厅/89.49平米/东南/精装/有电梯,高楼层(共27层)/1999年建塔楼/知春路,45人关注/10次带看30天以前发布距离10号线知春路站818米房本满两年800万单价89396元/平米
14,太月园/2室2厅/101.63平米/东南/其他/有电梯,低楼层(共18层)/1999年建塔楼/知春路,23人关注/12次带看4个月以前发布房本满五年950万单价93477元/平米
15,太月园/2室1厅/85.4平米/东南/简装/有电梯,中楼层(共27层)/1998年建塔楼/知春路,19人关注/7次带看10个月以前发布距离10号线知春路站749米房本满五年900万单价105387元/平米
16,太月园/4室2厅/240.14平米/南 西北/精装/有电梯,高楼层(共27层)/1998年建塔楼/知春路,40人关注/3次带看7天以前发布距离10号线知春路站688米房本满五年1500万单价62464元/平米
17,太月园/3室1厅/150.5平米/西北/简装/有电梯,中楼层(共27层)/1999年建塔楼/知春路,29人关注/15次带看5个月以前发布距离10号线知春路站749米1150万单价76412元/平米
18,太月园/5室1厅/204.65平米/东北/其他/有电梯,顶层(共18层)/1999年建塔楼/知春路,15人关注/0次带看3个月以前发布距离10号线知春路站593米房本满五年1750万单价85512元/平米
19,太月园/4室2厅/227.91平米/西南/精装/有电梯,高楼层(共27层)/1999年建塔楼/知春路,51人关注/18次带看5个月以前发布距离10号线知春路站820米1650万单价72397元/平米
20,太月园/3室1厅/141.9平米/东南 北/其他,中楼层(共19层)/1998年建塔楼/知春路,8人关注/1次带看6天以前发布距离10号线西土城站633米房本满五年随时看房1200万单价84567元/平米
21,太月园/3室2厅/149.24平米/西南/简装/有电梯,高楼层(共19层)/1998年建塔楼/知春路,5人关注/1次带看9天以前发布距离10号线西土城站633米房本满五年1560万单价104530元/平米
22,太月园/3室2厅/151.53平米/东北/精装/有电梯,中楼层(共27层)/1999年建塔楼/知春路,35人关注/2次带看8个月以前发布距离10号线知春路站688米房本满五年1150万单价75893元/平米
23,太月园/3室1厅/129.81平米/东北/精装/有电梯,中楼层(共18层)/1999年建塔楼/知春路,5人关注/7次带看2天以前发布距离10号线知春路站765米房本满五年1050万单价80888元/平米
24,太月园/2室1厅/83.33平米/西/简装/有电梯,低楼层(共26层)/1999年建塔楼/知春路,76人关注/0次带看6个月以前发布距离10号线知春路站726米房本满五年735万单价88204元/平米
