,address,flood,followInfo
0,建东苑/3室2厅/84.74平米/南 北/其他/无电梯,中楼层(共6层)/2000年建板楼/管庄,11人关注/12次带看2天以前发布房本满五年405万单价47794元/平米
1,建东苑/2室1厅/83.02平米/东 西/精装/无电梯,高楼层(共6层)/2002年建板楼/管庄,68人关注/39次带看5个月以前发布房本满五年随时看房375万单价45170元/平米
2,建东苑/3室1厅/111.58平米/南 北/精装/无电梯,高楼层(共6层)/2003年建板楼/管庄,14人关注/2次带看3天以前发布房本满五年518万单价46425元/平米
3,建东苑/2室1厅/87.33平米/南 北/简装,顶层(共6层)/2003年建板楼/管庄,12人关注/2次带看5天以前发布房本满五年415万单价47521元/平米
4,建东苑/2室1厅/74.04平米/南 西/精装/无电梯,顶层(共6层)/2000年建板楼/管庄,19人关注/0次带看4天以前发布房本满五年360万单价48623元/平米
5,建东苑/3室1厅/92.32平米/东 西/精装/无电梯,高楼层(共6层)/2000年建板楼/管庄,11人关注/2次带看12天以前发布房本满五年408万单价44195元/平米
6,建东苑/3室1厅/100.33平米/西南/其他/无电梯,中楼层(共6层)/2000年建板楼/管庄,38人关注/43次带看1个月以前发布房本满五年470万单价46846元/平米
7,建东苑/2室1厅/68.18平米/南 北/其他/无电梯,底层(共6层)/2000年建板楼/管庄,41人关注/12次带看14天以前发布房本满两年335万单价49135元/平米
8,建东苑/2室1厅/87.84平米/南 北/简装/无电梯,顶层(共6层)/2002年建板楼/管庄,159人关注/38次带看9个月以前发布房本满五年400万单价45538元/平米
9,建东苑/3室1厅/127.09平米/东 南 西/简装/无电梯,高楼层(共6层)/2000年建板楼/管庄,24人关注/0次带看3个月以前发布房本满五年550万单价43277元/平米
10,建东苑/3室1厅/105.78平米/南 北/精装/无电梯,高楼层(共6层)/2003年建板楼/管庄,21人关注/15次带看1个月以前发布房本满两年520万单价49159元/平米
11,建东苑/1室1厅/62.46平米/东南/其他/无电梯,低楼层(共6层)/2000年建板楼/管庄,53人关注/4次带看4个月以前发布房本满五年300万单价48031元/平米
12,建东苑/2室1厅/87.98平米/南 北/简装/无电梯,中楼层(共6层)/2002年建板楼/管庄,88人关注/2次带看3个月以前发布房本满五年375万单价42624元/平米
13,建东苑/2室1厅/67.01平米/南 北/简装/无电梯,底层(共6层)/2000年建板楼/管庄,14人关注/2次带看6天以前发布352万单价52530元/平米
14,建东苑/2室1厅/73.61平米/东 西/其他/无电梯,高楼层(共6层)/2002年建板楼/管庄,37人关注/2次带看20天以前发布330万单价44831元/平米
15,建东苑/2室1厅/84.38平米/南 北/其他/无电梯,高楼层(共6层)/2001年建板楼/管庄,78人关注/5次带看3个月以前发布房本满五年400万单价47405元/平米
16,建东苑/2室1厅/79.43平米/南 北/其他,中楼层(共6层)/2000年建板楼/管庄,5人关注/5次带看8天以前发布房本满五年390万单价49100元/平米
