,address,flood,followInfo
0,王庄路27号院/2室1厅/61.9平米/南 北/简装/无电梯,顶层(共6层)/1989年建板楼/五道口,41人关注/20次带看1个月以前发布距离13号线五道口站640米房本满五年450万单价72698元/平米
1,王庄路27号院/2室1厅/60.4平米/南 北/其他/无电梯,低楼层(共6层)/1986年建板楼/五道口,10人关注/17次带看17天以前发布距离13号线五道口站684米房本满五年随时看房475万单价78643元/平米
2,王庄路27号院/2室1厅/60.4平米/南 北/简装/无电梯,顶层(共6层)/1989年建板楼/五道口,102人关注/15次带看10个月以前发布距离13号线五道口站684米房本满五年465万单价76987元/平米
3,王庄路27号院/1室1厅/42平米/南/简装/无电梯,中楼层(共6层)/1989年建板楼/五道口,133人关注/7次带看7个月以前发布距离13号线五道口站801米房本满五年375万单价89286元/平米
4,王庄路27号院/2室1厅/62.4平米/南 北/精装/无电梯,顶层(共6层)/1989年建板楼/五道口,78人关注/13次带看3个月以前发布距离13号线五道口站801米房本满两年449万单价71956元/平米
5,王庄路27号院/1室1厅/42.5平米/南/精装/无电梯,顶层(共6层)/1989年建板楼/五道口,279人关注/3次带看10个月以前发布距离13号线五道口站801米房本满五年350万单价82353元/平米
6,王庄路27号院/3室1厅/79.4平米/东 西/简装/无电梯,低楼层(共6层)/1992年建板楼/五道口,66人关注/7次带看8个月以前发布距离13号线五道口站579米房本满五年随时看房690万单价86902元/平米
7,王庄路27号院/2室1厅/62.4平米/南/精装/无电梯,顶层(共6层)/1986年建板楼/五道口,21人关注/2次带看4个月以前发布距离13号线五道口站801米房本满五年随时看房485万单价77725元/平米
8,王庄路27号院/1室1厅/42.5平米/南/其他/无电梯,顶层(共6层)/1989年建板楼/五道口,18人关注/0次带看20天以前发布距离13号线五道口站761米房本满五年360万单价84706元/平米
9,王庄路27号院/1室1厅/42.2平米/南/精装/无电梯,底层(共6层)/1989年建板楼/五道口,37人关注/6次带看4个月以前发布距离13号线五道口站640米房本满两年395万单价93602元/平米
10,王庄路27号院/1室1厅/42平米/南/简装/无电梯,中楼层(共6层)/1989年建板楼/五道口,34人关注/9次带看5个月以前发布距离13号线五道口站801米房本满五年380万单价90477元/平米
11,王庄路27号院/2室1厅/55.7平米/南 北/简装/无电梯,底层(共6层)/1989年建板楼/五道口,40人关注/100次带看7个月以前发布距离13号线五道口站684米510万单价91562元/平米
12,王庄路27号院/2室1厅/60平米/东 西/简装/无电梯,中楼层(共6层)/1992年建板楼/五道口,12人关注/1次带看3个月以前发布距离13号线五道口站421米房本满两年515万单价85834元/平米
13,王庄路27号院/2室1厅/60平米/东/精装/无电梯,中楼层(共6层)/1992年建板楼/五道口,98人关注/23次带看11个月以前发布距离13号线五道口站421米房本满五年495万单价82500元/平米
14,王庄路27号院/2室1厅/62.1平米/南 北/精装/无电梯,顶层(共6层)/1989年建板楼/五道口,38人关注/1次带看一年前发布距离13号线五道口站480米620万单价99839元/平米
15,王庄路27号院/1室1厅/42.5平米/南/精装,顶层(共6层)/1989年建板楼/五道口,26人关注/0次带看3天以前发布距离13号线五道口站640米房本满五年345万单价81177元/平米
