,address,flood,followInfo
0,西直门南大街/2室1厅/56.5平米/西南/简装/有电梯,中楼层(共14层)/1989年建塔楼/官园,86人关注/28次带看1个月以前发布距离2号线车公庄站263米房本满五年620万单价109735元/平米
1,西直门南大街/3室1厅/74.1平米/东 西 北/精装/有电梯,底层(共22层)/1987年建塔楼/官园,58人关注/19次带看1个月以前发布距离2号线西直门站370米房本满五年795万单价107288元/平米
2,西直门南大街/2室1厅/61.2平米/东 西/简装/有电梯,中楼层(共14层)/1985年建板塔结合/官园,94人关注/11次带看3个月以前发布距离2号线车公庄站285米房本满五年635万单价103759元/平米
3,西直门南大街/2室1厅/62.2平米/东/简装,低楼层(共18层)/1990年建塔楼/官园,47人关注/6次带看2个月以前发布距离2号线车公庄站297米房本满五年650万单价104502元/平米
4,西直门南大街/2室1厅/65.7平米/东/精装/有电梯,高楼层(共18层)/1990年建塔楼/官园,239人关注/27次带看4个月以前发布距离2号线车公庄站297米房本满五年660万单价100457元/平米
5,西直门南大街/2室1厅/71.2平米/东 西 北/简装/有电梯,顶层(共18层)/1989年建塔楼/官园,18人关注/2次带看5天以前发布距离2号线车公庄站228米747万单价104916元/平米
6,西直门南大街/1室1厅/43.5平米/西南/简装/有电梯,中楼层(共14层)/1989年建塔楼/官园,105人关注/14次带看3个月以前发布距离2号线车公庄站263米房本满两年475万单价109196元/平米
7,西直门南大街/2室1厅/67平米/东/简装/有电梯,低楼层(共18层)/1989年建塔楼/官园,33人关注/43次带看3个月以前发布距离2号线车公庄站228米670万单价100000元/平米
8,西直门南大街/3室1厅/90.9平米/南 西 北/其他/有电梯,低楼层(共22层)/1990年建塔楼/官园,15人关注/4次带看1个月以前发布距离2号线西直门站431米房本满五年1080万单价118812元/平米
9,西直门南大街/3室1厅/85.3平米/东 西北/简装/有电梯,中楼层(共18层)/1988年建塔楼/官园,81人关注/1次带看4个月以前发布距离2号线车公庄站221米房本满五年853万单价100000元/平米
10,西直门南大街/3室1厅/81平米/东 西/简装/有电梯,中楼层(共14层)/1985年建板塔结合/官园,14人关注/4次带看1个月以前发布距离2号线车公庄站285米850万单价104939元/平米
11,西直门南大街/2室1厅/75.1平米/南/简装,低楼层(共16层)/1986年建塔楼/官园,26人关注/8次带看31天以前发布距离2号线车公庄站101米830万单价110520元/平米
12,西直门南大街/2室1厅/58平米/东南/简装/有电梯,低楼层(共16层)/1989年建塔楼/官园,139人关注/51次带看1个月以前发布距离2号线车公庄站302米房本满五年630万单价108621元/平米
13,西直门南大街/4室1厅/127.7平米/西南/其他/有电梯,低楼层(共16层)/1989年建塔楼/官园,17人关注/3次带看刚刚发布距离2号线车公庄站117米房本满五年1408万单价110259元/平米
14,西直门南大街/2室1厅/51.7平米/东/精装,中楼层(共22层)/1987年建塔楼/官园,24人关注/0次带看12天以前发布距离2号线西直门站370米房本满两年620.4万单价120000元/平米
15,西直门南大街/1室1厅/48.1平米/东/简装/有电梯,中楼层(共14层)/1985年建板塔结合/官园,6人关注/8次带看1个月以前发布距离2号线车公庄站285米房本满五年519万单价107901元/平米
16,西直门南大街/3室1厅/86.7平米/东 西/其他/有电梯,顶层(共18层)/1990年建塔楼/官园,26人关注/1次带看1个月以前发布距离2号线车公庄站297米房本满五年910万单价104960元/平米
