,address,flood,followInfo
0,首开知语城/2室1厅/84.95平米/西/简装/有电梯,高楼层(共22层)/2009年建塔楼/望京,17人关注/15次带看8天以前发布房本满五年随时看房710万单价83579元/平米
1,首开知语城/3室1厅/103.17平米/东南/精装/有电梯,高楼层(共22层)/2009年建塔楼/望京,222人关注/54次带看3个月以前发布房本满五年860万单价83358元/平米
2,首开知语城/3室2厅/171.81平米/南 北/毛坯/有电梯,顶层(共13层)/2008年建板楼/望京,134人关注/111次带看一年前发布距离15号线望京站821米房本满五年随时看房1500万单价87306元/平米
3,首开知语城/2室2厅/128.1平米/南 北/其他/有电梯,高楼层(共21层)/2008年建板楼/望京,17人关注/24次带看1个月以前发布距离13号线望京西站1018米房本满五年1160万单价90555元/平米
4,首开知语城/2室2厅/136.72平米/南 北/精装/有电梯,高楼层(共13层)/2008年建板楼/望京,147人关注/23次带看10个月以前发布距离15号线望京站821米房本满五年1090万单价79725元/平米
5,首开知语城/2室1厅/136.72平米/南 北/精装/有电梯,中楼层(共13层)/2008年建板楼/望京,49人关注/83次带看5个月以前发布距离15号线望京站821米房本满五年随时看房1090万单价79725元/平米
6,首开知语城/1室1厅/81.79平米/南/其他/有电梯,中楼层(共13层)/2008年建板楼/望京,38人关注/14次带看1个月以前发布房本满五年698万单价85341元/平米
7,首开知语城/3室1厅/151.39平米/南 北/精装/有电梯,高楼层(共20层)/2008年建板楼/望京,83人关注/34次带看2个月以前发布房本满五年1332万单价87985元/平米
8,首开知语城/3室2厅/151.39平米/南 北/精装/有电梯,低楼层(共20层)/2008年建板楼/望京,13人关注/7次带看29天以前发布房本满五年1320万单价87193元/平米
9,首开知语城/4室2厅/254.16平米/南 北/其他/有电梯,底层(共11层)/2008年建板楼/望京,10人关注/0次带看1个月以前发布距离13号线望京西站937米房本满五年1980万单价77904元/平米
