,address,flood,followInfo
0,龙湖香醍漫步四区南区/3室2厅/116.18平米/南 北/毛坯/有电梯,中楼层(共8层)/2012年建板楼/马坡,76人关注/25次带看6个月以前发布房本满两年随时看房464万单价39939元/平米
1,龙湖香醍漫步四区南区/2室2厅/104.78平米/南 北/毛坯/有电梯,低楼层(共8层)/2010年建板楼/马坡,10人关注/2次带看9天以前发布房本满两年418万单价39894元/平米
2,龙湖香醍漫步四区南区/4室2厅/161.78平米/南 北/精装/有电梯,8层/2012年建板楼/马坡,46人关注/16次带看5个月以前发布房本满两年647万单价39993元/平米
3,龙湖香醍漫步四区南区/1室1厅/31.45平米/南/精装/有电梯,顶层(共8层)/2012年建板楼/马坡,272人关注/7次带看3个月以前发布房本满两年190万单价60414元/平米
4,龙湖香醍漫步四区南区/4室2厅/293.63平米/南 北/毛坯/无电梯,2层/2010年建暂无数据/马坡,4人关注/4次带看25天以前发布房本满五年随时看房1150万单价39165元/平米
5,龙湖香醍漫步四区南区/独栋别墅/5室3厅/368.73平米/南 北/毛坯/无电梯,2层/2010年建暂无数据/马坡,30人关注/18次带看8个月以前发布房本满两年随时看房1350万单价36613元/平米
6,龙湖香醍漫步四区南区/3室2厅/116.15平米/南 北/精装/有电梯,中楼层(共8层)/2012年建板楼/马坡,58人关注/8次带看5个月以前发布450万单价38744元/平米
7,龙湖香醍漫步四区南区/4室2厅/280.65平米/南 北/精装/有电梯,底层(共8层)/2010年建板楼/马坡,63人关注/11次带看2个月以前发布房本满两年800万单价28506元/平米
8,龙湖香醍漫步四区南区/独栋别墅/6室3厅/368.73平米/南 北/精装/无电梯,2层/2010年建暂无数据/马坡,217人关注/2次带看10个月以前发布房本满两年1300万单价35257元/平米
9,龙湖香醍漫步四区南区/4室2厅/344.53平米/南 北/精装/有电梯,8层/2012年建板楼/马坡,19人关注/2次带看21天以前发布950万单价27574元/平米
10,龙湖香醍漫步四区南区/5室2厅/320.82平米/南 北/精装/有电梯,底层(共8层)/2012年建板楼/马坡,5人关注/0次带看1个月以前发布1000万单价31171元/平米
11,龙湖香醍漫步四区南区/车位/26.1平米/北,/2012年建暂无数据/马坡,4人关注/0次带看3个月以前发布房本满两年15万单价5748元/平米
